z,d,rad,n
campus,2019-10-08,1.9560349583069263,12
ring,2019-10-08,11.360232369311841,1649
campus,2019-10-09,2.511580875545156,11
ring,2019-10-09,13.303212529870866,1470
campus,2019-10-10,,0
ring,2019-10-10,2.17871690308564,6
campus,2019-10-11,,0
ring,2019-10-11,,0
campus,2019-10-12,,0
ring,2019-10-12,,0
campus,2019-10-13,,0
ring,2019-10-13,,0
campus,2019-10-14,1.4579470901429157,12
ring,2019-10-14,11.67460544450286,1437
campus,2019-10-15,2.470679991623222,8
ring,2019-10-15,10.041049173860989,618
campus,2019-10-16,,0
ring,2019-10-16,11.889034816196986,7
campus,2019-10-17,,0
ring,2019-10-17,,0
campus,2019-10-18,1.600049061323303,12
ring,2019-10-18,11.517295138247361,1412
campus,2019-10-19,1.8278709627778373,12
ring,2019-10-19,13.13100631315749,1462
campus,2019-10-20,,0
ring,2019-10-20,23.4177076207502,18
campus,2019-10-21,,0
ring,2019-10-21,3.772052455809464,24
campus,2019-10-22,,0
ring,2019-10-22,6.95918727152849,375
campus,2019-10-23,2.001488466890587,12
ring,2019-10-23,12.223134693692874,1457
campus,2019-10-24,,0
ring,2019-10-24,2.633273579857566,11
campus,2019-10-25,3.474021667637189,12
ring,2019-10-25,14.289167083936212,1585
campus,2019-10-26,,0
ring,2019-10-26,17.180906930804202,503
campus,2019-10-27,,0
ring,2019-10-27,,0
campus,2019-10-28,1.7333940647118125,12
ring,2019-10-28,11.594870407995462,1649
campus,2019-10-29,,0
ring,2019-10-29,,0
campus,2019-10-30,,0
ring,2019-10-30,,0
campus,2019-10-31,,0
ring,2019-10-31,,0
campus,2019-11-01,4.600560990590899,12
ring,2019-11-01,24.50306520320915,1645
campus,2019-11-02,2.5437839997345058,11
ring,2019-11-02,9.668316082386271,1102
campus,2019-11-03,,0
ring,2019-11-03,12.957299037555622,440
campus,2019-11-04,,0
ring,2019-11-04,3.289614606465803,12
campus,2019-11-05,3.3789350877400315,12
ring,2019-11-05,14.253821380064908,1609
campus,2019-11-06,,0
ring,2019-11-06,4.27954678103753,61
campus,2019-11-07,,0
ring,2019-11-07,,0
campus,2019-11-08,2.6378878670023718,12
ring,2019-11-08,20.257130708496987,1342
campus,2019-11-09,,0
ring,2019-11-09,,0
campus,2019-11-10,,0
ring,2019-11-10,,0
campus,2019-11-11,,0
ring,2019-11-11,,0
campus,2019-11-12,,0
ring,2019-11-12,46.70757510112612,73
campus,2019-11-13,,0
ring,2019-11-13,42.2695504506429,15
campus,2019-11-14,,0
ring,2019-11-14,19.74890638325924,50
campus,2019-11-15,,0
ring,2019-11-15,27.372309327731287,56
campus,2019-11-16,,0
ring,2019-11-16,25.419289151549602,133
campus,2019-11-17,3.9320210382388567,8
ring,2019-11-17,5.909829899185957,53
campus,2019-11-18,,0
ring,2019-11-18,4.789803504943848,2
campus,2019-11-19,,0
ring,2019-11-19,3.64230740070343,2
campus,2019-11-20,,0
ring,2019-11-20,2.7091717379433766,2
campus,2019-11-21,,0
ring,2019-11-21,,0
campus,2019-11-22,,0
ring,2019-11-22,8.6721076821672,16
campus,2019-11-23,1.7498320614924285,12
ring,2019-11-23,11.605360897292968,1644
campus,2019-11-24,3.5171356536448,6
ring,2019-11-24,2.1465559759075217,194
campus,2019-11-25,1.8022676641756306,12
ring,2019-11-25,10.687958635118775,1634
campus,2019-11-26,2.0254192317789905,12
ring,2019-11-26,12.565251060671905,1643
campus,2019-11-27,,0
ring,2019-11-27,,0
campus,2019-11-28,,0
ring,2019-11-28,,0
campus,2019-11-29,,0
ring,2019-11-29,,0
campus,2019-11-30,,0
ring,2019-11-30,,0
campus,2019-12-01,,0
ring,2019-12-01,0.5718737922548314,202
campus,2019-12-02,,0
ring,2019-12-02,6.9820000437871075,11
campus,2019-12-03,,0
ring,2019-12-03,,0
campus,2019-12-04,1.692140577999261,12
ring,2019-12-04,11.707255007371412,1646
campus,2019-12-05,1.808611840872315,12
ring,2019-12-05,11.77756846473203,1645
campus,2019-12-06,,0
ring,2019-12-06,,0
campus,2019-12-07,3.5232077550932583,12
ring,2019-12-07,16.154032494989686,1333
campus,2019-12-08,,0
ring,2019-12-08,,0
campus,2019-12-09,,0
ring,2019-12-09,,0
campus,2019-12-10,,0
ring,2019-12-10,16.678893036550956,213
campus,2019-12-11,1.3595782678668242,12
ring,2019-12-11,13.49548726410509,1427
campus,2019-12-12,,0
ring,2019-12-12,26.596604347229004,4
campus,2019-12-13,3.148558984784519,4
ring,2019-12-13,7.6184478064659595,535
campus,2019-12-14,,0
ring,2019-12-14,17.883386785264527,106
campus,2019-12-15,1.3212989912090962,12
ring,2019-12-15,13.77496128551214,1307
campus,2019-12-16,,0
ring,2019-12-16,,0
campus,2019-12-17,3.8937275409698495,12
ring,2019-12-17,19.42261064423815,1220
campus,2019-12-18,2.830629326270965,12
ring,2019-12-18,17.285847692002207,1347
campus,2019-12-19,2.500618597372574,12
ring,2019-12-19,15.067398577286697,1430
campus,2019-12-20,,0
ring,2019-12-20,,0
campus,2019-12-21,2.0599116410861837,12
ring,2019-12-21,10.361550683198164,1647
campus,2019-12-22,2.122939837635622,12
ring,2019-12-22,11.152112313249544,1642
campus,2019-12-23,2.3253676323339705,8
ring,2019-12-23,13.178940284611532,1318
campus,2019-12-24,,0
ring,2019-12-24,2.3137764930725098,6
campus,2019-12-25,,0
ring,2019-12-25,,0
campus,2019-12-26,,0
ring,2019-12-26,,0
campus,2019-12-27,1.4996834886960748,7
ring,2019-12-27,1.8755930648434322,29
campus,2019-12-28,2.6777894830837305,12
ring,2019-12-28,13.693762082923415,1647
campus,2019-12-29,,0
ring,2019-12-29,,0
campus,2019-12-30,,0
ring,2019-12-30,,0
campus,2020-01-01,3.935203442943086,12
ring,2020-01-01,24.395015239129204,1272
campus,2020-01-02,3.7827665298258895,12
ring,2020-01-02,15.502659894619688,1202
campus,2020-01-03,,0
ring,2020-01-03,,0
campus,2020-01-04,,0
ring,2020-01-04,1.1309179067611694,5
campus,2020-01-05,1.4104667901992798,1
ring,2020-01-05,11.117424747047025,489
campus,2020-01-06,1.7953027343215735,12
ring,2020-01-06,11.42566810710814,1500
campus,2020-01-07,,0
ring,2020-01-07,12.510915174598574,401
campus,2020-01-08,3.38023537146945,12
ring,2020-01-08,15.303203138317942,1360
campus,2020-01-09,,0
ring,2020-01-09,,0
campus,2020-01-10,,0
ring,2020-01-10,22.357956816949415,23
campus,2020-01-11,,0
ring,2020-01-11,,0
campus,2020-01-12,,0
ring,2020-01-12,29.369292799226308,68
campus,2020-01-13,,0
ring,2020-01-13,15.533982307251824,66
campus,2020-01-14,,0
ring,2020-01-14,21.235668000552394,135
campus,2020-01-15,,0
ring,2020-01-15,39.42257302106974,22
campus,2020-01-16,,0
ring,2020-01-16,9.47368077793503,7
campus,2020-01-17,2.610408067703247,1
ring,2020-01-17,27.26092935398747,435
campus,2020-01-18,,0
ring,2020-01-18,,0
campus,2020-01-19,,0
ring,2020-01-19,40.516061823571484,37
campus,2020-01-20,,0
ring,2020-01-20,11.245843240770242,8
campus,2020-01-21,,0
ring,2020-01-21,11.309055989295732,14
campus,2020-01-22,,0
ring,2020-01-22,,0
campus,2020-01-23,,0
ring,2020-01-23,,0
campus,2020-01-24,,0
ring,2020-01-24,,0
campus,2020-01-25,,0
ring,2020-01-25,8.541101551904877,15
campus,2020-01-26,,0
ring,2020-01-26,6.240357839144194,13
campus,2020-01-27,,0
ring,2020-01-27,,0
campus,2020-01-28,,0
ring,2020-01-28,1.7380556757993821,32
campus,2020-01-29,,0
ring,2020-01-29,,0
campus,2020-01-30,,0
ring,2020-01-30,7.524372349316921,94
campus,2020-01-31,,0
ring,2020-01-31,,0
campus,2020-02-01,,0
ring,2020-02-01,,0
campus,2020-02-02,,0
ring,2020-02-02,,0
campus,2020-02-03,3.060654343447639,4
ring,2020-02-03,18.61282186536418,514
campus,2020-02-04,,0
ring,2020-02-04,2.8448989197410652,87
campus,2020-02-05,3.106872427474663,12
ring,2020-02-05,11.326936526038141,561
campus,2020-02-06,,0
ring,2020-02-06,,0
campus,2020-02-07,5.998407907575091,3
ring,2020-02-07,18.967698096657102,207
campus,2020-02-08,,0
ring,2020-02-08,5.36239767074585,1
campus,2020-02-09,,0
ring,2020-02-09,15.762862977190078,109
campus,2020-02-10,,0
ring,2020-02-10,42.86254306417569,27
campus,2020-02-11,,0
ring,2020-02-11,25.953980075189417,61
campus,2020-02-12,,0
ring,2020-02-12,47.72127739700402,33
campus,2020-02-13,,0
ring,2020-02-13,,0
campus,2020-02-14,,0
ring,2020-02-14,83.35809427019959,33
campus,2020-02-15,,0
ring,2020-02-15,63.978522298405295,55
campus,2020-02-16,,0
ring,2020-02-16,31.247206549247085,184
campus,2020-02-17,,0
ring,2020-02-17,36.47709257962831,39
campus,2020-02-18,,0
