lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
40.7274,121.9931,14,3.5,9.9,68.6,58.7,822.0,40.0_120.0
34.4806,119.7602,23,5.75,2.8,38.2,35.5,816.0,34.0_118.0
32.9853,117.2267,33,8.25,7.5,32.3,24.7,816.0,32.0_116.0
29.0185,115.8296,32,8.0,7.3,32.7,25.4,812.0,28.0_114.0
34.0826,108.4154,26,6.5,4.7,35.8,31.1,808.0,34.0_108.0
38.2435,110.2512,7,1.75,0.7,115.0,114.3,800.0,38.0_110.0
26.5444,105.0223,16,4.0,6.4,55.8,49.4,790.0,26.0_104.0
33.9354,118.3637,31,7.75,8.5,34.0,25.5,790.0,32.0_118.0
36.782,116.9949,31,7.75,4.6,29.8,25.2,781.0,36.0_116.0
34.0254,114.3812,24,6.0,7.1,39.6,32.4,778.0,34.0_114.0
36.9221,118.2954,15,3.75,7.7,59.5,51.8,777.0,36.0_118.0
40.3433,121.1041,2,0.5,108.2,495.2,387.0,774.0,40.0_120.0
29.195,104.9867,33,8.25,4.9,28.3,23.4,772.0,28.0_104.0
38.088,108.9934,32,8.0,3.7,27.4,23.7,760.0,38.0_108.0
31.7981,120.4955,6,1.5,11.9,138.1,126.2,757.0,30.0_120.0
24.5942,102.5904,8,2.0,1.3,95.7,94.4,755.0,24.0_102.0
29.8201,122.0581,13,3.25,2.0,59.0,57.0,741.0,28.0_122.0
29.7811,122.127,15,3.75,9.3,58.2,48.9,733.0,28.0_122.0
28.0357,116.4515,41,10.25,1.3,19.1,17.9,732.0,28.0_116.0
32.1134,115.0414,35,8.75,5.5,26.2,20.7,724.0,32.0_114.0
37.8587,112.5267,3,0.75,81.4,321.7,240.4,721.0,36.0_112.0
35.8594,109.2136,10,2.5,4.9,76.9,72.1,721.0,34.0_108.0
38.2155,118.7775,4,1.0,34.3,214.6,180.3,721.0,38.0_118.0
25.2229,119.0322,10,2.5,11.0,82.8,71.8,718.0,24.0_118.0
28.9099,115.8581,35,8.75,3.1,23.5,20.4,713.0,28.0_114.0
30.8818,121.6209,42,10.5,3.8,20.8,16.9,712.0,30.0_120.0
32.2697,119.2477,22,5.5,6.1,38.3,32.3,710.0,32.0_118.0
29.2292,104.8826,18,4.5,2.8,41.9,39.1,704.0,28.0_104.0
36.6172,120.9584,23,5.75,0.6,31.1,30.5,702.0,36.0_120.0
29.8772,122.0399,6,1.5,39.8,155.5,115.7,694.0,28.0_122.0
37.4631,122.2298,8,2.0,17.3,104.0,86.7,694.0,36.0_122.0
40.7548,111.528,38,9.5,4.2,22.3,18.2,690.0,40.0_110.0
29.9762,115.4133,19,4.75,1.5,37.7,36.2,687.0,28.0_114.0
29.808,122.1747,23,5.75,4.0,33.8,29.8,686.0,28.0_122.0
32.9289,117.695,20,5.0,3.3,37.5,34.2,684.0,32.0_116.0
30.3286,121.9433,6,1.5,24.1,137.8,113.8,683.0,30.0_120.0
36.5772,102.089,12,3.0,0.5,57.3,56.8,682.0,36.0_102.0
40.8419,111.7459,4,1.0,52.5,222.5,170.0,680.0,40.0_110.0
29.9281,107.0882,27,6.75,2.8,28.0,25.2,679.0,28.0_106.0
25.21,118.923,13,3.25,9.5,61.7,52.2,679.0,24.0_118.0
31.5154,107.6752,21,5.25,0.8,33.1,32.3,679.0,30.0_106.0
28.7772,121.6583,23,5.75,3.3,32.8,29.5,678.0,28.0_120.0
27.8796,102.1691,38,9.5,3.6,21.4,17.8,677.0,26.0_102.0
