name,d,VV,VH
cn_zhangbei_r03,2018-08-31,-12.03736075747719,-19.05330050556673
cn_zhangbei_r05,2018-08-31,-11.1176366209549,-17.198279562952777
cn_zhangbei_r01,2018-08-31,-10.19848351486625,-18.240736069734595
cn_zhangbei_r06,2018-08-31,-8.221581676993992,-16.92842239076801
cn_zhangbei_r07,2018-08-31,-9.616397619439855,-16.507360365095572
cn_zhangbei_r02,2018-08-31,-9.78931397478213,-16.841633538805873
cn_zhangbei_r03,2018-09-12,-12.980700252907607,-19.746723540217964
cn_zhangbei_r05,2018-09-12,-11.165275880589716,-17.947161408715377
cn_zhangbei_r01,2018-09-12,-10.446260947987085,-17.928235565261826
cn_zhangbei_r06,2018-09-12,-7.414197304445922,-12.809506326077127
cn_zhangbei_r07,2018-09-12,-8.953103516937356,-14.340241686460269
cn_zhangbei_r02,2018-09-12,-10.322819955132942,-17.089509519556337
cn_zhangbei_r03,2018-09-24,-13.974292398572448,-23.793668362188324
cn_zhangbei_r05,2018-09-24,-12.816770695736315,-22.720001900551758
cn_zhangbei_r01,2018-09-24,-11.424380168013858,-20.83810467804206
cn_zhangbei_r06,2018-09-24,-8.186723065485099,-16.973116862591613
cn_zhangbei_r07,2018-09-24,-11.384424562686942,-18.716380440898423
cn_zhangbei_r02,2018-09-24,-12.012918404421395,-19.373456386674366
cn_zhangbei_r03,2018-10-06,-12.152039752183612,-20.84051803758907
cn_zhangbei_r05,2018-10-06,-12.621678523319796,-26.025882264035207
cn_zhangbei_r01,2018-10-06,-10.621811068227423,-19.791634537428994
cn_zhangbei_r06,2018-10-06,-8.659753252489823,-17.900004720348043
cn_zhangbei_r07,2018-10-06,-11.07637499299339,-16.94306232397521
cn_zhangbei_r02,2018-10-06,-11.793656176063438,-19.60622093211146
cn_zhangbei_r03,2018-10-18,-11.624242280389113,-17.155482792705122
cn_zhangbei_r05,2018-10-18,-11.94597313953531,-24.093899036875673
cn_zhangbei_r01,2018-10-18,-10.08943192199979,-15.561763047791018
cn_zhangbei_r06,2018-10-18,-7.562499089078583,-9.723174399285053
cn_zhangbei_r07,2018-10-18,-10.123687234703594,-14.520960237737249
cn_zhangbei_r02,2018-10-18,-10.561052677695432,-15.454116208811707
cn_zhangbei_r03,2018-11-11,-14.724504758458368,-34.78107943252405
cn_zhangbei_r05,2018-11-11,-15.109932183129422,-39.853007319740115
cn_zhangbei_r01,2018-11-11,-12.542274489340834,-29.300200573378977
cn_zhangbei_r06,2018-11-11,-8.455045599455865,-19.478576738605756
cn_zhangbei_r07,2018-11-11,-11.93968720619197,-24.20777220160843
cn_zhangbei_r02,2018-11-11,-13.95190524921748,-27.728766610668217
cn_zhangbei_r03,2018-11-23,-13.137018914842796,-16.698344417148636
cn_zhangbei_r05,2018-11-23,-14.805388029114107,-29.994114105014535
cn_zhangbei_r01,2018-11-23,-11.003800802810522,-16.910152461697194
cn_zhangbei_r06,2018-11-23,-6.970483544246681,-10.082346439069502
cn_zhangbei_r07,2018-11-23,-8.787538793476832,-9.502262050472165
cn_zhangbei_r02,2018-11-23,-11.111040276029584,-14.78125930417015
cn_zhangbei_r03,2018-12-05,-14.505480022336851,-19.676467803922822
cn_zhangbei_r05,2018-12-05,-15.210068034628375,-31.793233384428454
cn_zhangbei_r01,2018-12-05,-12.010072066312134,-16.810819449812676
cn_zhangbei_r06,2018-12-05,-7.892308597854221,-13.630442590871795
cn_zhangbei_r07,2018-12-05,-10.365929424674855,-15.673600816102589
cn_zhangbei_r02,2018-12-05,-14.405921979149959,-23.383645917408852
cn_zhangbei_r03,2018-12-17,-9.49490553588218,-16.4674529006047
cn_zhangbei_r05,2018-12-17,-15.093440127962193,-42.27192464388531
cn_zhangbei_r01,2018-12-17,-8.004228650180746,-14.017917005125637
cn_zhangbei_r06,2018-12-17,-6.632762616633083,-12.550637168422973
cn_zhangbei_r07,2018-12-17,-9.35989209246194,-13.864734086158997
cn_zhangbei_r02,2018-12-17,-14.080096746157643,-29.07524643269969
cn_zhangbei_r03,2018-12-29,-15.594498776184205,-28.287773699188126
cn_zhangbei_r05,2018-12-29,-15.484512807069017,-32.83398441298628
cn_zhangbei_r01,2018-12-29,-12.497765191550839,-24.358494126827114
cn_zhangbei_r06,2018-12-29,-7.918678136355433,-16.549904301868636
cn_zhangbei_r07,2018-12-29,-11.086989690386751,-20.545250855148442
cn_zhangbei_r02,2018-12-29,-14.307554509730302,-24.196800888944576
