ym,VV:cn_ulanqab_r03,VV:cn_ulanqab_r04,VV:cn_ulanqab_r05,VV:cn_ulanqab_r06,VV:cn_ulanqab_r07,VH:cn_ulanqab_r03,VH:cn_ulanqab_r04,VH:cn_ulanqab_r05,VH:cn_ulanqab_r06,VH:cn_ulanqab_r07
2019-10,-14.910096306043274,-11.28237288603092,-10.442041564811664,-16.81443144341458,-12.010076426346942,-26.703465237817,-20.201616161229627,-22.304110769803984,-25.516147140536653,-21.91215785632022
2019-11,-14.883273638044104,-11.398845974060759,-11.979860679397728,-16.792552954186178,-12.200641625515374,-28.14021917221646,-20.233618486066604,-25.84106271185945,-26.26745413784615,-23.229312341327116
2019-12,-15.3597888556863,-12.09193603814912,-14.275786522984397,-18.399827311484305,-12.553439146807207,-29.934055040406772,-20.543724301637642,-30.36101709735019,-30.278395450773512,-25.756512098407086
2020-01,-15.192941113849932,-12.339178335170354,-14.980455799388611,-16.026747104521345,-12.576633963465838,-28.32046781618611,-20.427475976296922,-29.101214416025563,-27.830411600025563,-24.770626660433464
2020-02,-15.507812614692968,-12.015865635686792,-16.015933250057003,-17.997106447959816,-13.228000197981853,-26.670331925025778,-20.301021103785637,-26.732646039145543,-26.480170040288392,-24.43932049306201
2020-03,-15.410504313702546,-11.768031440393777,-14.966240921248922,-17.26485061319803,-12.674981356984159,-26.385397846144112,-20.093048846540256,-27.011301057276842,-25.463341175264013,-23.259060138945642
2020-04,-15.56273685263684,-11.887792623293741,-14.411757830001084,-16.918724464948742,-12.520067602591016,-26.123711550370597,-20.140202100120476,-26.87440845021488,-24.852063432555326,-22.2966070318837
2020-05,-15.077138235920978,-11.647775162712067,-13.70191278043623,-16.049987702145145,-11.285665398118384,-25.139989035052924,-19.570374749560457,-26.161699062159627,-23.36419061913503,-21.19827470255452
2020-06,-14.552105967245618,-11.272101949854902,-10.801310346608126,-15.940690969776176,-10.607144985817287,-23.993593900833922,-18.74056112724673,-22.172448719467877,-22.857463084959033,-20.869531244594643
2020-07,-13.451768837565387,-10.585395466839826,-7.968413528340951,-13.848705443267015,-9.804688566330073,-21.597652133107168,-18.242491975342457,-15.229545424576667,-21.280236047554872,-19.728803680875426
2020-08,-11.611611452485182,-9.545866748966278,-7.719860235758237,-12.264818312354317,-9.781973136322335,-20.271601807782382,-17.421601094647848,-14.750286743372024,-18.952556496097593,-19.389783261243114
2020-09,-13.551383600583284,-10.401062857716749,-7.544000160857302,-14.976245760278395,-11.215565054531252,-21.851794453396167,-18.155496462943542,-14.893434204901832,-22.237628318539738,-20.690276467938183
2020-10,-14.313349401511724,-10.908160599782008,-12.603280393231822,-15.864522313659993,-11.535778382824798,-24.551537286940295,-18.884601726294278,-24.27874581457626,-23.76353933450841,-22.180213582759862
2020-11,-14.979983011182599,-11.573049647405107,-12.16561134532927,-16.609278713234698,-11.368579918993753,-25.89192115249674,-19.484890265019427,-23.24550782345131,-24.704927654939343,-23.019275503221618
2020-12,-15.245352535575677,-11.463653194764365,-13.317953952918955,-16.877542490576793,-12.310194932205075,-26.166805217351005,-19.449443091367197,-25.16602820905578,-26.282376386740232,-24.064248663069876
2021-01,-15.822827023577956,-11.485297793076676,-13.783055774149746,-17.95988310880665,-12.621740637624404,-26.36504386306055,-19.624676822141485,-25.889057811253995,-26.726724366563744,-24.588380153734864
2021-02,-15.51932864941093,-11.442181576050308,-13.70665047119039,-17.523147256842204,-12.371254593876142,-26.180642067132254,-19.472722894248243,-26.111094098926344,-25.0017589165046,-23.504515390581908
