ym,VV:block_a,VV:block_b,VV:block_c,VV:block_d,VH:block_a,VH:block_b,VH:block_c,VH:block_d
2021-03,-10.14778173017852,-10.720004053824027,-8.519018262958811,-10.672820271884683,-17.558276286362105,-19.3343375085109,-17.035593031952708,-19.55054942211645
2021-04,-10.420156134817255,-10.691325517010092,-8.407324035271635,-10.734396165285942,-17.714418587884555,-19.451587889870773,-16.68469773098246,-19.27961178567627
2021-05,-9.831176241150986,-9.71964059997629,-7.945350578065726,-10.202436142756959,-16.967777737553405,-17.86076650179979,-16.337628118801845,-18.35688535024385
2021-08,-9.855846492165506,-9.28791071609143,-8.081673830613507,-9.960044819490298,-16.844157263337827,-17.344555172599144,-16.10768800466782,-18.001159906655406
2021-09,-9.639364565753983,-9.245566439994938,-7.929560564717111,-10.072269627546554,-16.76151069391211,-17.64772760474153,-16.65478739761678,-18.4973929469621
2021-10,-10.774080936559844,-9.782088734276783,-8.415750126860395,-11.022248439683263,-18.06448072295245,-18.949972430412465,-16.910889852712202,-19.227467909021478
2021-11,-10.947852790814045,-10.025774310556995,-8.578456872774836,-11.503110945788704,-18.601806039513022,-19.480379008842647,-17.210441839243774,-20.16138190854131
2021-12,-11.202616481657017,-10.61219362995763,-9.23554308359362,-12.40209200510502,-19.28499114206036,-20.071419201819054,-17.55566326363654,-21.100480761201815
2022-01,-11.299680254637497,-10.648646789226383,-9.077545727956986,-12.528586951913596,-18.806699916885513,-19.85672847708722,-17.360034533830273,-21.237403603023875
2022-02,-11.360102491922454,-10.939960186955325,-9.260487134122116,-12.315283887624096,-18.853914673930525,-20.09464831444625,-17.392279002414178,-21.322964900395682
2022-03,-10.492806187619529,-10.24190242585856,-8.951506864425808,-11.417302881897285,-17.283189607618933,-19.668907587317427,-17.373163845727483,-19.55616984433719
2022-04,-9.79669493881337,-10.365517616385475,-8.774818396884987,-11.190404296030907,-16.207273533359587,-19.58706021786756,-17.02566515644631,-19.264857520304346
2022-05,-9.428970270181498,-9.986568475474897,-8.017550196509696,-10.912133049966421,-16.334568356802997,-19.21501605530962,-16.518473448112154,-18.773678730398444
2022-06,-10.32298719014343,-8.500803792834258,-7.072718911476151,-9.882730163638499,-18.451186210984574,-17.810850402998177,-16.038568016811908,-17.962905323076043
2022-07,-14.10624829029516,-9.298890091756597,-7.60937376150317,-10.593339688179274,-24.01310860711751,-18.386470847556936,-15.883951962152256,-18.207716102712894
2022-08,-14.847835286559603,-9.006152850340412,-7.3388737933454316,-9.962278045556973,-24.62451480677507,-17.909260450620835,-15.939774404676331,-17.751232611134643
2022-09,-13.402922989929786,-9.218141895701951,-7.664065291498007,-9.774017141206862,-22.01878266576431,-17.920930295273305,-16.07432965344657,-17.891091638474663
2022-10,-14.624670411079732,-10.18428860963055,-8.078415229830513,-10.1858415126444,-24.168418779233395,-19.608906421545697,-16.359073189352088,-18.500832837707755
2022-11,-13.205918108852018,-9.153451560118114,-7.458140012040911,-9.501759868717286,-23.763445283687723,-19.140920976155208,-16.203435561772157,-18.047814525139106
2022-12,-15.505515429622173,-10.666392854389901,-8.28767238039033,-11.576436937645758,-24.843542665863986,-20.27761502601487,-16.50676232191671,-20.397939927309892
2023-01,-15.511974493675853,-10.869123531204133,-8.539198851018533,-11.360846060543473,-24.89841923754125,-20.487235700760863,-17.166166946822695,-20.193672682844383
2023-02,-15.491772957173554,-10.369574689213138,-8.34830955077926,-10.949390686077166,-24.647015875847327,-19.8993520676998,-16.99863581339084,-19.320464161649934
2023-03,-13.84030227226826,-9.57225343156672,-8.019548968570124,-9.85450632116477,-23.70316295421341,-19.496105533829443,-16.94237031455186,-18.74593281018727
2023-04,-13.451545621067512,-9.94084702881251,-7.900144277302233,-9.498793859449695,-23.80803850462569,-19.26778832117986,-16.22123461471713,-17.78657183780675
2023-06,-12.301009034605649,-9.583186233814732,-7.669815788953532,-9.948299346567163,-19.79195227177281,-18.21434276728032,-16.074517445664178,-17.456608846322048
2023-08,-11.346168510469596,-9.085396041788357,-7.636574421642212,-9.857400412214051,-17.635470084080985,-17.933412950566755,-16.084587268097497,-17.63180343339028
2023-09,-10.309656850926572,-7.363252789680587,-6.2383442715879145,-8.815162602525323,-16.857497123755284,-16.85619406941426,-15.370874805620794,-16.51344540442802
2023-10,-12.079059734868354,-9.378857786861515,-7.519911480615013,-9.96875139948281,-19.01085106572869,-18.60895731768498,-16.126838465900317,-17.963183589274195
2023-11,-13.792968605428236,-9.366633145631322,-7.444271530550858,-10.380813121321637,-24.282618726032112,-18.819057057590143,-16.2296722328009,-18.587008662330845
2023-12,-15.101925361494875,-9.771253749730267,-7.38664673277848,-11.920478655148942,-26.776788566904287,-19.369671211909996,-16.35638608497968,-20.413618247305433
2024-01,-14.387328375352865,-9.733666568968456,-7.688073135776963,-11.695350320746991,-25.168261843777906,-18.929324446145923,-16.07340770619662,-20.365916233928107
2024-02,-14.14797382926995,-9.376420771930018,-7.5296042268825145,-11.324079778592306,-25.040584439286384,-18.951990607994205,-16.311319932142315,-20.25658710209826
2024-03,-13.286307818708183,-8.923952153710665,-7.2432075559412965,-10.486902158902017,-24.073176471288534,-18.34714437720794,-15.955302933250993,-18.919708201311014
2024-04,-11.476841750805217,-8.657318030881505,-7.45307142123875,-10.651618075740942,-21.023492216049434,-17.590659556690895,-16.169263102154673,-18.50808806367094
2024-05,-10.055433642291053,-8.496314490696813,-7.2968678903939885,-9.579472963398231,-19.404157555570464,-17.606875934511145,-15.889263855655877,-17.994562977575427
2024-06,-8.024540798015476,-6.736617050938619,-7.142876302308277,-9.44758292661192,-16.295644938291208,-16.259824723461982,-15.857778805776256,-17.385897664478698
2024-07,-7.00275368753368,-7.1736652834765176,-6.682268143263726,-8.531287744660562,-15.18336551377721,-16.215156406046564,-15.158413753057813,-16.435716391344275
2024-08,-6.501415100316158,-7.065484054923632,-6.904268547543286,-8.998242238342357,-14.372324335439258,-16.2748081965847,-15.18770318214486,-16.602699349820085
2024-09,-6.677362080689583,-7.1104794787486005,-7.133898167764089,-8.874654614687673,-14.461962076371307,-16.149694487522105,-15.345301686546254,-16.823648983688727
2024-10,-6.78223079341625,-6.268353426309492,-6.669961816611478,-8.543795883976323,-14.785838872218216,-15.886919005667533,-15.479666115636576,-17.18474715279509
2024-11,-6.878193957080801,-6.532981640775373,-6.884885841984509,-8.624872680610844,-14.888669842886552,-16.171841375062858,-15.600259871134707,-16.90160440487014
2024-12,-9.747613484057037,-7.930380296370618,-7.727495127921776,-11.393129973952892,-18.44021323307956,-17.990890243689016,-16.581434770642012,-20.940903093977
2025-01,-9.586991382495848,-7.638913727997708,-7.85232122651845,-11.381097993159138,-18.312054748985517,-17.498324639283446,-16.706134497205625,-19.93189741181106
2025-02,-9.672611308433403,-7.5028768088509175,-7.733556060785943,-11.317688144611562,-18.184512068155776,-17.663715236487572,-16.56870360062807,-20.123666970588324
2025-03,-8.771345477940823,-6.458010172343977,-7.38725475269368,-10.192366086300748,-17.14843292011401,-16.539487593982635,-15.91274733585029,-18.16665890670931
2025-04,-7.862073125881242,-5.575841191762345,-7.1879963521748165,-9.757060443001787,-16.344230970294387,-16.00165690747358,-15.668837529766176,-17.921838904380106
2025-08,-5.956630655129422,-5.190157698895484,-6.497971317803852,-8.636254430523046,-14.113864612918187,-14.94636463412402,-14.809525469088081,-16.36937562851936
2025-09,-6.385425405846126,-5.838961012089012,-7.133414630309611,-9.00811568386727,-14.697699649536691,-15.495828986933638,-15.1241541115956,-16.537282254872487
2025-10,-7.138861628247164,-5.926810916981105,-7.1540704479376895,-9.409745981855805,-16.302567786626895,-15.605589317671193,-15.342190318918101,-17.45842547946205
2025-11,-8.234740699790882,-6.175850448130206,-7.13350356983327,-9.90127488538267,-17.816432444704596,-16.203062362265428,-15.554197231209411,-18.28441155045191
2025-12,-9.794800168707033,-7.0354666032676265,-7.8225510674409096,-11.798190489417538,-20.029204569193407,-16.79985474283709,-16.21501488053587,-20.751740545434007
2026-01,-9.738968234018301,-7.101094361920241,-7.569004643178859,-11.605265000733727,-20.024897607340094,-17.109517427925912,-15.999054837678637,-20.583328301843242
2026-02,-9.224173934495308,-6.993267494290179,-7.484477471901544,-11.035095021032088,-19.756171770327285,-16.854348373230508,-15.949744263309245,-19.46144340674342
2026-03,-9.185490035261733,-6.720539609930878,-7.356667577945927,-10.865502492041173,-19.621928824906306,-16.47813732856841,-15.770217592360924,-19.116299264258295
2026-04,-8.827633863712526,-6.682840068618974,-7.449224069455006,-10.001211659565298,-18.506411063078417,-16.415266887361167,-15.644388374959885,-18.138058791579837
2026-05,-8.704126217944907,-6.395383538551069,-7.114138791100877,-9.377389226957348,-17.99808591085872,-16.048109201364078,-15.472506114979327,-17.44049723113086
2026-06,-8.42105795461045,-5.765067980494727,-6.556489695214257,-9.160662742548917,-17.709119736329086,-15.444102180382576,-15.082633864541695,-17.007484532268922
2026-07,-8.248329326453575,-5.671200868168683,-6.658227697011018,-8.761712038948204,-17.090949905795508,-15.446141271798636,-15.113035613419886,-16.442219459752266
2026-08,-8.130312338642392,-5.896823724627345,-6.670227269015328,-9.453328224326324,-16.78695597624208,-15.352857772694446,-15.061806924584252,-16.97879067772664
2026-09,-8.167493457516048,-5.979491448811577,-6.1078911275924925,-9.642389692091495,-17.037008216591524,-15.567697957418272,-14.923219030788843,-17.220071634983164
