name,d,VV,VH
cn_guian_r01,2021-05-17,-9.7373489646117,-16.971870631274843
cn_guian_r01,2021-05-29,-9.361397430067674,-16.528502773309587
cn_guian_r01,2021-06-10,-8.927813454243964,-15.755062468107411
cn_guian_r01,2021-06-22,-9.747000267256563,-16.538387493298185
cn_guian_r01,2021-07-04,-8.943825195872192,-15.424249478537398
cn_guian_r01,2021-07-16,-9.683145201552557,-16.10108548507326
cn_guian_r01,2021-07-28,-9.199519139827329,-15.645551299172856
cn_guian_r01,2021-08-09,-9.212332953325223,-15.877202375723764
cn_guian_r01,2021-08-21,-9.446333137093077,-15.768062735127723
cn_guian_r01,2021-09-02,-9.993020924386999,-15.889006653883564
cn_guian_r01,2021-09-14,-9.955689276889021,-15.74932404159138
cn_guian_r01,2021-09-26,-10.177311706036503,-16.003519119982695
cn_guian_r01,2021-10-08,-10.084191255731879,-16.25348770897375
cn_guian_r01,2021-10-20,-9.180486963727434,-15.5961463439873
cn_guian_r01,2021-11-01,-8.673542576508039,-14.989828285819344
cn_guian_r01,2021-11-13,-10.96990407518771,-17.56592730780095
cn_guian_r01,2021-11-25,-10.71407979742666,-17.252077814064513
cn_guian_r01,2021-12-07,-11.176423070835908,-17.650343503419816
cn_guian_r01,2021-12-19,-11.003432430962874,-18.033660132452955
cn_guian_r01,2022-01-12,-9.85255233271354,-17.024700740602444
cn_guian_r01,2022-01-24,-10.634980210437908,-17.919008766907748
cn_guian_r01,2022-02-05,-10.184253250162223,-17.428921575359077
cn_guian_r01,2022-02-17,-9.798650563701834,-16.78115630847968
cn_guian_r01,2022-03-13,-11.15083562892044,-17.17108123563679
cn_guian_r01,2022-04-06,-10.815982227515436,-17.630697926878845
cn_guian_r01,2022-04-18,-10.143730334793345,-17.090762548937867
cn_guian_r01,2022-04-30,-9.920624884963543,-16.86633913739227
cn_guian_r01,2022-05-24,-8.251697269130446,-15.257661167824676
cn_guian_r01,2022-06-29,-9.527395023233602,-15.950671465458067
cn_guian_r01,2022-07-11,-9.583253434154438,-15.826967758061475
cn_guian_r01,2022-07-23,-9.583366440554945,-15.6936479085585
cn_guian_r01,2022-08-04,-8.604312317400648,-14.73301545130804
cn_guian_r01,2022-08-28,-10.224154228855042,-16.404583952792105
cn_guian_r01,2022-09-09,-10.33380785974715,-16.104450987059202
cn_guian_r01,2022-09-21,-9.419777369632918,-15.761430145074348
cn_guian_r01,2022-11-20,-10.345080496680401,-16.647863121291415
cn_guian_r01,2022-12-14,-11.074851998835939,-17.57801798396077
cn_guian_r01,2022-12-26,-11.28671003488062,-18.4197610100703
cn_guian_r01,2023-01-07,-10.935365330033738,-17.96922885599549
cn_guian_r01,2023-01-19,-11.185010088648056,-18.358583645816378
cn_guian_r01,2023-01-31,-11.163528916496828,-18.425812117301174
cn_guian_r01,2023-02-12,-10.89957357903718,-17.67773221394002
cn_guian_r01,2023-02-24,-10.288771916376621,-16.90102256349589
cn_guian_r01,2023-03-08,-10.389090128204865,-17.066119274654014
cn_guian_r01,2023-03-20,-10.104017891180076,-16.677268324824766
cn_guian_r01,2023-04-01,-10.099700383341034,-16.978350399672433
cn_guian_r01,2023-04-13,-10.11277026908176,-16.775685837946423
cn_guian_r01,2023-04-25,-10.633451731343529,-18.01857194526642
cn_guian_r01,2023-05-07,-9.546671174558474,-17.208383218235195
cn_guian_r01,2023-05-19,-8.938954500887885,-16.2623714189506
cn_guian_r01,2023-05-31,-10.030399914707331,-16.979978518318106
cn_guian_r01,2023-08-11,-9.562454470243512,-15.452722031439892
cn_guian_r01,2023-08-23,-8.729466529181533,-15.616507581559473
cn_guian_r01,2023-09-04,-9.901993690782781,-16.42629166781725
cn_guian_r01,2023-09-16,-9.834904687806771,-16.15280264322572
cn_guian_r01,2023-09-28,-10.06667764064691,-16.486466980429913
cn_guian_r01,2023-10-10,-9.784054553330325,-16.2290948073746
cn_guian_r01,2023-10-22,-10.436202830105014,-16.654255654659035
cn_guian_r01,2023-11-03,-10.027073061322005,-16.7435387063732
cn_guian_r01,2023-11-15,-9.32762772807369,-16.34627815576035
cn_guian_r01,2023-11-27,-10.245958993622525,-17.01883605228801
cn_guian_r01,2023-12-09,-10.393683205130012,-17.026778378207887
cn_guian_r01,2023-12-21,-11.346496943467633,-18.857381225722907
cn_guian_r01,2024-01-02,-9.845538810387716,-17.52810025986211
cn_guian_r01,2024-01-26,-10.874323195824292,-18.537222661080747
cn_guian_r01,2024-02-07,-10.227510997331317,-18.232836394054207
cn_guian_r01,2024-02-19,-11.441315514158717,-18.94942036991439
cn_guian_r01,2024-03-14,-11.391842002783676,-18.98818954093334
cn_guian_r01,2024-03-26,-11.610157745245948,-19.866161815179645
cn_guian_r01,2024-04-07,-12.001706913795319,-19.8383448399616
cn_guian_r01,2024-04-19,-10.95332991966422,-18.968469596915543
cn_guian_r01,2024-05-01,-10.690713618753957,-18.22767344309634
cn_guian_r01,2024-05-25,-11.28441879078185,-18.256314436911115
cn_guian_r01,2024-06-06,-10.186706034960169,-17.41330220932774
cn_guian_r01,2024-06-18,-9.305187254959275,-16.442104200765904
cn_guian_r01,2024-08-05,-10.285674391198881,-16.942294243508094
cn_guian_r01,2024-08-17,-11.316955295769505,-18.130051431295733
cn_guian_r01,2024-08-29,-11.374675526412826,-18.245579434161005
cn_guian_r01,2024-09-10,-8.98256586487189,-16.07658743812859
cn_guian_r01,2024-09-22,-11.61996381040673,-18.64103262053214
cn_guian_r01,2024-10-04,-11.403792539161236,-18.511527614602745
cn_guian_r01,2024-10-16,-9.360647917250935,-17.070112421590096
cn_guian_r01,2024-10-28,-11.849624216477444,-19.215782691574162
cn_guian_r01,2024-11-09,-12.11693208117128,-19.68702715186801
cn_guian_r01,2024-11-21,-9.855155027983638,-17.8167648374196
cn_guian_r01,2024-12-03,-11.151885844752224,-19.582610411626458
cn_guian_r01,2024-12-15,-11.025188435798347,-19.20703932680088
cn_guian_r01,2024-12-27,-9.832679466895385,-18.455072343474068
cn_guian_r01,2025-01-08,-9.326801864685208,-18.62906338614135
cn_guian_r01,2025-01-20,-8.914080430958368,-19.02161678227592
cn_guian_r01,2025-02-01,-7.93123095495657,-18.73474287222657
cn_guian_r01,2025-03-09,-5.475282528248893,-15.840584483959134
cn_guian_r01,2025-03-21,-6.746495316502603,-16.37045276963243
cn_guian_r01,2025-04-02,-6.621103858287948,-15.68806881569017
cn_guian_r01,2025-04-14,-6.456255046284492,-15.614944804734343
cn_guian_r01,2025-04-26,-5.1896330727602935,-14.840994709290262
cn_guian_r01,2025-05-08,-5.318847933423063,-14.481139242218129
cn_guian_r01,2025-05-20,-4.322460071767662,-14.020748039308337
cn_guian_r01,2025-06-01,-4.724377312682948,-14.240810538945222
cn_guian_r01,2025-07-07,-4.481174955418613,-13.22313447098729
cn_guian_r01,2025-07-19,-4.022462037139755,-12.89920038067057
cn_guian_r01,2025-08-12,-2.8168602372032834,-11.975669958469199
cn_guian_r01,2025-08-24,-3.89324506639267,-12.423340288084345
cn_guian_r01,2025-09-05,-3.8187172026394576,-12.361661847892869
cn_guian_r01,2025-09-17,-3.5523183255963757,-12.456936827712406
cn_guian_r01,2025-09-29,-3.2252050972026516,-11.96227190438607
cn_guian_r01,2025-10-11,-4.018433907307235,-12.58073703043119
cn_guian_r01,2025-10-23,-3.6253292625646356,-12.309756038798954
cn_guian_r01,2025-11-04,-2.4010337179673527,-11.892951169232354
cn_guian_r01,2025-11-16,-3.9766072063283167,-13.195142748052781
cn_guian_r01,2025-11-28,-4.158119518696114,-13.487335862648374
cn_guian_r01,2025-12-10,-3.387837910904761,-13.787437835034224
cn_guian_r01,2025-12-22,-4.210987288579296,-13.699523015334742
cn_guian_r01,2026-01-03,-1.5706451203167242,-12.694825581022515
cn_guian_r01,2026-01-15,-4.190060469429836,-14.28465358048932
cn_guian_r01,2026-02-08,-2.5730167926064507,-14.029012158910682
cn_guian_r01,2026-03-04,-3.717262937974834,-14.334489697816279
cn_guian_r01,2026-03-28,-2.2061759565230377,-13.118762040902395
cn_guian_r01,2026-04-21,-1.5141317595257404,-12.799276392162561
cn_guian_r01,2026-05-03,-0.05805974778248603,-12.170279473913059
cn_guian_r01,2026-05-15,-0.5758267219067739,-12.237706151818571
cn_guian_r01,2026-05-27,-2.2203943388783207,-12.889161296680602
cn_guian_r01,2026-06-08,-1.5215787558265863,-12.209906843034627
cn_guian_r01,2026-06-20,-1.8742387145635218,-12.364821997996806
cn_guian_r01,2026-07-21,-1.9047027161861971,-12.948705110996377
cn_guian_r01,2026-07-21,-1.9052302533138132,-12.946843048567382
cn_guian_r01,2026-09-07,-0.9973429357642777,-11.469501424987406
