ym,VV:cn_qingyang_r03,VV:cn_qingyang_r07,VV:cn_qingyang_r11,VV:cn_qingyang_r12,VH:cn_qingyang_r03,VH:cn_qingyang_r07,VH:cn_qingyang_r11,VH:cn_qingyang_r12
2020-09,-8.491206119124625,-8.185722594346325,-8.669800700127443,-8.423846954948603,-14.742707284107087,-15.933379070541257,-16.153951466438567,-15.597408234803025
2020-10,-9.164708645428277,-8.553637338664997,-9.648323273447824,-9.163453467971031,-16.596078048073647,-16.670537653713172,-17.41811556158845,-16.821899756076096
2020-11,-10.089253972990305,-10.037392730370271,-11.303201249146262,-10.598526746238512,-18.1039248730743,-18.590473541790033,-19.637492811464426,-18.281831787077333
2020-12,-11.915148922404914,-11.033615490689968,-11.930622826848335,-12.187383366016586,-21.32931583616055,-20.101256259795445,-22.03553084728125,-21.542085216870632
2021-01,-12.977871309696333,-11.783367919150988,-14.039478565415212,-12.926079012094426,-21.86520458624606,-20.411207929137024,-23.015696511797728,-22.318844672025605
2021-02,-11.438399475760448,-10.665917258065196,-12.280334438273918,-11.209322741899815,-19.87481366394678,-19.180646915162924,-20.956931446744584,-20.138222958869633
2021-03,-10.20171072285934,-10.156464339934386,-10.960662652736788,-10.466128197368125,-18.840387894854913,-18.699534123554972,-20.302101965992158,-19.238622691570413
2021-04,-9.028235932490535,-8.385132821650647,-9.235155399056584,-8.037426979435311,-16.334480776930135,-16.88510461971564,-17.60926057323716,-16.41914933829793
2021-05,-10.217813947349903,-9.109932313400723,-10.79357453789627,-9.326722434554336,-17.24032662714038,-17.66286986974389,-18.836054677312774,-17.715179584744604
2021-07,-8.132915355796781,-8.226806083770951,-8.856192368093412,-8.213595443214013,-15.074366687400476,-15.193773856245326,-15.422361905007744,-15.113853315389914
2021-08,-8.906588140110529,-8.991813992069837,-9.816860827920245,-9.773659967981203,-15.795867999108637,-16.257502430412746,-17.331991314015006,-16.57526640877857
2021-09,-8.725217963919775,-8.282872813538916,-8.77470011648567,-8.360394502089113,-15.482443542216105,-15.783179193692396,-16.64017863800164,-16.16666166314124
2021-10,-8.433879601828028,-8.554320889649048,-8.947234542717672,-8.654443683301668,-15.606060160413692,-16.17631799219911,-16.32583945272396,-16.714859016713206
2021-11,-10.029485189058704,-9.97488056145996,-11.547046106368208,-11.459881713189365,-18.603313872890695,-18.122883093669458,-20.01132372151953,-19.677900899244538
2021-12,-11.192801012225544,-11.289716582550877,-13.355019892772521,-12.81812597379799,-19.699168512121602,-19.606702786199005,-22.00608785670843,-21.466642676828208
2022-01,-11.84128501407867,-11.984673127293194,-14.321478723353744,-13.499022718086325,-20.875266595819607,-20.440142085982448,-23.00135808791622,-22.388157514963574
2022-02,-10.605352463852348,-10.719015316668813,-12.521594099602897,-12.387889410971862,-19.96815356599184,-20.454968101055094,-22.50622895626418,-21.88239780736282
2022-03,-9.344118675117482,-10.758959991906352,-12.325767146183011,-11.609909307200343,-17.960834729995568,-18.834625677254195,-20.451700006943796,-19.13470154560578
2022-04,-10.590441929910902,-11.202563669093898,-13.245467612708053,-13.142286162897804,-18.52092899146172,-19.066976146377172,-23.256891523336467,-23.641851991286632
2022-05,-10.046516234845685,-10.704578313130886,-13.324000668617415,-13.893070453200659,-17.969651470139816,-19.08639124880921,-23.376691452105455,-24.64585362602166
2022-07,-9.249875182040297,-9.14823284191439,-11.471479755309677,-11.46743989638902,-16.546915727177716,-16.470773423378603,-18.372808793286385,-18.03964382003425
2022-08,-9.341922479749368,-9.679828637574477,-11.495575748517354,-11.670146529777778,-16.72181955007608,-16.58171717627915,-18.054954000281096,-17.85900449886111
2022-11,-9.858815526624413,-9.63102824332676,-12.199848379024193,-13.282194466821384,-17.888651867536314,-18.154498880944853,-20.481949200785422,-23.815450490702887
2022-12,-12.484183853744195,-11.805319345590195,-16.108135877159043,-15.420238589143157,-22.090913672495724,-20.58312526496554,-24.957087711896722,-25.224980166360538
2023-01,-12.674190731705494,-11.839702718179314,-16.299014432585043,-16.902305013710716,-21.9589895048098,-20.270356370822153,-25.55345352556059,-26.634022448952507
2023-02,-10.860255012815706,-11.10919823197001,-14.033371615014957,-13.782859217134618,-20.738330488968902,-19.99543221297364,-24.671578273268004,-24.413606762430067
2023-03,-12.313351428218855,-11.494488056860508,-15.454948355785968,-15.390246522327867,-21.862289048018646,-19.673191915474398,-24.775957826748943,-24.82705928036023
2023-04,-10.745800759650459,-11.076947701156671,-12.775273306070728,-13.879780720905785,-19.555021115922123,-19.77388738265694,-23.922669424503372,-24.52560119476377
2023-05,-7.6951141298791494,-8.695500439547041,-9.10399829322671,-11.473051905128152,-18.203154774253434,-18.997973456252616,-19.932759063944314,-22.10766995155967
2023-06,-9.345198215608233,-11.74429787216192,-11.361685249621736,-11.812614615370872,-19.528397369479976,-20.93397649068762,-21.966957483543982,-23.00050513110289
2023-09,-9.211245360795237,-11.936189436797509,-8.984995819535504,-7.68468842230446,-17.283894725512926,-19.243491698183327,-20.654428732167126,-20.651690471643434
2023-10,-8.788311480746426,-10.935659325534285,-5.464133496347907,-5.9763530280403065,-16.394029125688853,-19.185772325117995,-16.78070550303489,-16.929998378321255
2023-12,-9.036377666133433,-12.84060338004123,-7.996590115312946,-3.7799250511422167,-20.02577177022669,-23.810399711860555,-20.162269969567916,-16.215324855233092
2024-01,-11.908951132251719,-16.084927160351697,-12.649931837789303,-4.1630515369937635,-23.04787918079569,-27.4740946120037,-24.559853007490744,-16.82412241761352
2024-02,-9.953416518733,-14.11660118403511,-11.699082510479764,-3.6251793003829764,-21.698178132900377,-26.307310951500074,-23.76483180185389,-16.357356082223394
2024-03,-8.250502899632137,-12.607980055248785,-9.509370456149385,-2.9515522310685696,-19.980791018817193,-25.234377279585733,-21.97778935024598,-15.79088765965029
2024-05,-9.608238245990544,-14.56952558440062,-9.89088159928597,-1.8955355740138642,-21.177635420158506,-25.513164895060168,-22.792140044604565,-14.997124821893179
2024-06,-8.716262232629562,-12.657200393274861,-8.301105119778033,-1.1542400129523196,-19.286989080578397,-23.117936890747025,-19.36555316259641,-14.414045089869195
2024-07,-3.4503191085421254,-9.852178211791067,-6.244358145942965,-0.27138961518278315,-16.433375622875808,-19.522059986004077,-18.048848496005228,-13.494729283491612
2024-08,-4.588102551283566,-9.13787718354353,-5.871952096679481,-0.7391520748753634,-15.113906735586864,-18.583834884774287,-19.022650490555808,-13.53805337028595
2024-09,-4.668701845157722,-9.612500227860972,-6.346352184514414,-1.0547165997522598,-15.826968169857329,-19.419396788216087,-19.320097123114863,-13.999494592535083
2024-10,-2.6371755382264785,-10.083765977314453,-5.472387155160877,-2.0206548392921926,-15.907542543498957,-20.954087523823357,-18.993640135279893,-14.711022424190759
2024-11,-3.9068354497286815,-6.26919322377579,-5.795866006881317,-1.858279096450875,-15.153210503078272,-19.446349025644917,-19.44798036932375,-15.411990075897776
2024-12,-6.05165754117986,-7.799072578895288,-9.286486065314392,-3.954193376719884,-17.131290958514253,-21.069519374183745,-22.57437816083697,-17.818246349191643
2025-01,-6.30026142479214,-8.550923664635999,-9.117227221704766,-5.059371267957081,-17.584936507072506,-21.61412989262069,-22.699396918235227,-17.919254652664932
2025-02,-4.8155681673255035,-6.739517970625942,-7.527639514918686,-3.7470482190052037,-16.942987194318274,-20.985386062151306,-21.745104947349628,-17.617020345470635
2025-03,-4.110364075102778,-6.348303253344255,-9.417318900642432,-3.829716711531912,-15.229446521145256,-19.43514590725438,-22.143479617270344,-16.924834555027775
2025-04,-4.451523036242289,-6.10691867583936,-9.348573688329918,-4.100875900238023,-16.075503469587222,-18.48967281366244,-21.820885279146097,-16.55548294634743
2025-05,-4.282983755253392,-6.356342695840169,-9.034804514990423,-3.7018160814138117,-15.61581142128538,-18.0578735876166,-22.37361227906122,-16.742101662828137
2025-06,-2.9352357024184266,-5.8948594659499705,-8.661972384567479,-3.108410876357128,-14.953256167044666,-17.54822193477952,-20.704366951550757,-16.41639129740675
2025-07,-1.9987067309439452,-4.240922385104776,-7.436672944158872,-2.7401229159339056,-13.85515981402741,-18.108318276169715,-19.246786076813034,-16.099993463941935
2025-08,-2.4188305860106523,-3.9740998109377683,-8.433602113416224,-3.446503312593677,-14.39906820587326,-18.7107926321176,-19.47663898709035,-16.171886075403556
2025-09,-1.8663080964442667,-2.3409903166977406,-6.628566202105326,-2.2062914852286575,-13.596624074644627,-16.86444582826601,-17.645576540744848,-15.317205235543682
2025-10,-2.336200592199812,-1.7280049132819273,-5.744156955005161,-0.7867064879493749,-14.238042618164465,-16.246498584267307,-16.920612047089982,-14.696704597635398
2025-11,-3.0924275843230618,-2.674838538749394,-8.277554865147831,-2.828185479015626,-15.453620957540439,-19.29928961540105,-21.069295176990813,-15.468685091095145
