site_id,ptype,polygon,product_id,sensor,datetime_utc,local_solar_hour,t_poly_k,t_bg_k,delta_t_k,t_poly_sd_k,t_bg_sd_k,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg,n_valid_poly_strict,scene_cloud_cover,sun_elev_deg,view_zenith_deg,day_night,qa_flags,capacity_mw,capacity_basis,capacity_tier,capacity_source,t2m_k,d2m_k,u10,v10,ta_c,td_c,rh_pct,wind_ms,q_kgkg,tw_c
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_21316_014_16SBD_20220409T234310_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-09T23:43:10+00:00,17.709,288.006,288.648,-0.642,1.639,0.979,24,24,1934,1934,24,0.0,8.202,27.14,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,287.83811950683594,277.70445251464844,0.7708740234375,1.8292150497436523,14.6881,4.5545,50.6489,1.985,0.0052,9.2045
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_21331_009_16SBD_20220410T225505_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-10T22:55:05+00:00,16.908,294.375,292.591,1.784,0.192,2.698,8,8,1934,1934,8,1.68,18.181,26.29,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,296.1537628173828,285.89390563964844,0.9949798583984375,5.879638671875,23.0038,12.7439,52.4224,5.9632,0.0092,16.6345
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_21331_009_16SBD_20220410T225505_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-10T22:55:05+00:00,16.908,293.699,292.591,1.108,0.571,2.698,24,24,1934,1934,24,1.68,18.181,26.29,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,296.1537628173828,285.89390563964844,0.9949798583984375,5.879638671875,23.0038,12.7439,52.4224,5.9632,0.0092,16.6345
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_21357_007_15SYU_20220412T144659_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-12T14:46:59+00:00,8.773,298.907,297.747,1.159,0.839,1.559,12,12,1943,1943,12,0.0,38.245,22.39,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,294.6875305175781,290.48089599609375,1.241424560546875,6.381193161010742,21.5375,17.3309,76.9838,6.5008,0.0123,18.6174
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_21357_007_15SYU_20220412T144659_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-12T14:46:59+00:00,8.773,297.765,297.747,0.017,1.158,1.559,24,24,1943,1943,24,0.0,38.245,22.39,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,294.6875305175781,290.48089599609375,1.241424560546875,6.381193161010742,21.5375,17.3309,76.9838,6.5008,0.0123,18.6174
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_21464_003_16SBD_20220419T122039_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-19T12:20:39+00:00,6.334,279.807,281.91,-2.103,0.843,1.554,21,24,1934,1934,21,0.23,10.453,18.48,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,279.2374267578125,272.0771942138672,-1.0350341796875,-2.330636978149414,6.0874,-1.0728,60.121,2.5501,0.0035,2.5171
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_21499_009_15SYU_20220421T185140_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-21T18:51:40+00:00,12.851,299.9,295.135,4.765,0.915,2.717,12,12,1943,1943,12,0.0,63.781,8.5,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,296.58795166015625,291.5864715576172,0.3968505859375,2.0902233123779297,23.438,18.4365,73.53,2.1276,0.0132,19.9616
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_21499_009_15SYU_20220421T185140_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-21T18:51:40+00:00,12.851,298.123,295.135,2.988,1.119,2.717,24,24,1943,1943,24,0.0,63.781,8.5,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,296.58795166015625,291.5864715576172,0.3968505859375,2.0902233123779297,23.438,18.4365,73.53,2.1276,0.0132,19.9616
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_21525_006_15SYU_20220423T104316_0712_03,ECOSTRESS_L2T_LSTE_v002,2022-04-23T10:43:16+00:00,4.711,281.508,281.265,0.244,1.574,2.506,12,12,1940,1943,12,2.35,-7.915,11.48,NIGHT,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,291.45335388183594,288.35035705566406,-0.1378173828125,3.6543264389038086,18.3034,15.2004,82.1233,3.6569,0.0108,16.1547
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_21525_006_15SYU_20220423T104316_0712_03,ECOSTRESS_L2T_LSTE_v002,2022-04-23T10:43:16+00:00,4.711,278.301,281.265,-2.964,2.597,2.506,23,24,1940,1943,23,2.35,-7.915,11.48,NIGHT,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,291.45335388183594,288.35035705566406,-0.1378173828125,3.6543264389038086,18.3034,15.2004,82.1233,3.6569,0.0108,16.1547
