site_id,product_id,datetime_utc,ptype,reason,n_valid_bg,n_total_bg,polygon,n_valid_poly,n_total_poly
colossus_memphis,ECOv002_L2T_LSTE_30124_007_15SYU_20231029T072342_0711_01,2023-10-29T07:23:42+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30124_007_16SBD_20231029T072342_0712_02,2023-10-29T07:23:42+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30124_007_15SYU_20231029T072342_0712_02,2023-10-29T07:23:42+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30205_014_15SYU_20231103T130710_0711_01,2023-11-03T13:07:10+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30205_014_15SYU_20231103T130710_0712_02,2023-11-03T13:07:10+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30205_014_16SBD_20231103T130710_0712_02,2023-11-03T13:07:10+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30266_009_15SYU_20231107T113000_0711_01,2023-11-07T11:30:00+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30266_009_15SYU_20231107T113000_0712_02,2023-11-07T11:30:00+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30266_009_16SBD_20231107T113000_0711_01,2023-11-07T11:30:00+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30266_009_16SBD_20231107T113000_0712_02,2023-11-07T11:30:00+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30307_007_16SBD_20231110T023229_0711_01,2023-11-10T02:32:29+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30307_007_16SBD_20231110T023229_0712_02,2023-11-10T02:32:29+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30342_007_15SYU_20231112T090503_0712_02,2023-11-12T09:05:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30342_007_15SYU_20231112T090503_0711_01,2023-11-12T09:05:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30353_006_15SYU_20231113T014550_0711_01,2023-11-13T01:45:50+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30353_006_15SYU_20231113T014550_0712_02,2023-11-13T01:45:50+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30414_006_15SYU_20231117T001208_0711_01,2023-11-17T00:12:08+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30414_006_16SBD_20231117T001208_0711_01,2023-11-17T00:12:08+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30429_005_16SBD_20231117T232414_0711_01,2023-11-17T23:24:14+00:00,cooling,polygon_too_cloudy,1190.0,1934.0,east_yard,3.0,8.0
colossus_memphis,ECOv002_L2T_LSTE_30429_005_15SYU_20231117T232414_0711_01,2023-11-17T23:24:14+00:00,cooling,polygon_too_cloudy,1197.0,1943.0,east_yard,5.0,12.0
colossus_memphis,ECOv002_L2T_LSTE_30429_005_16SBD_20231117T232414_0711_01,2023-11-17T23:24:14+00:00,hall,polygon_too_cloudy,1190.0,1934.0,electrolux_hall,14.0,24.0
colossus_memphis,ECOv002_L2T_LSTE_30464_007_15SYU_20231120T055707_0711_01,2023-11-20T05:57:07+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30464_007_16SBD_20231120T055707_0711_01,2023-11-20T05:57:07+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30490_006_15SYU_20231121T214902_0711_01,2023-11-21T21:49:02+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30490_007_15SYU_20231121T214954_0711_01,2023-11-21T21:49:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30490_007_16SBD_20231121T214954_0711_01,2023-11-21T21:49:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30673_006_15SYU_20231203T170115_0711_01,2023-12-03T17:01:15+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30673_006_16SBD_20231203T170115_0711_01,2023-12-03T17:01:15+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30673_006_16SBD_20231203T170115_0712_02,2023-12-03T17:01:15+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30673_006_15SYU_20231203T170115_0712_02,2023-12-03T17:01:15+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30780_006_16SBD_20231210T143446_0711_01,2023-12-10T14:34:46+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30780_006_16SBD_20231210T143446_0712_02,2023-12-10T14:34:46+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30780_006_15SYU_20231210T143446_0711_01,2023-12-10T14:34:46+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30780_006_15SYU_20231210T143446_0712_02,2023-12-10T14:34:46+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30861_006_15SYU_20231215T201505_0711_01,2023-12-15T20:15:05+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30861_006_15SYU_20231215T201505_0712_02,2023-12-15T20:15:05+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30876_008_15SYU_20231216T192649_0711_01,2023-12-16T19:26:49+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30876_008_16SBD_20231216T192649_0711_01,2023-12-16T19:26:49+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30876_008_15SYU_20231216T192649_0712_02,2023-12-16T19:26:49+00:00,cooling,polygon_too_cloudy,866.0,1943.0,east_yard,0.0,12.0
colossus_memphis,ECOv002_L2T_LSTE_30876_008_16SBD_20231216T192649_0712_02,2023-12-16T19:26:49+00:00,cooling,polygon_too_cloudy,860.0,1934.0,east_yard,0.0,8.0
colossus_memphis,ECOv002_L2T_LSTE_30876_008_15SYU_20231216T192649_0712_02,2023-12-16T19:26:49+00:00,hall,polygon_too_cloudy,866.0,1943.0,electrolux_hall,0.0,24.0
colossus_memphis,ECOv002_L2T_LSTE_30876_008_16SBD_20231216T192649_0712_02,2023-12-16T19:26:49+00:00,hall,polygon_too_cloudy,860.0,1934.0,electrolux_hall,0.0,24.0
colossus_memphis,ECOv002_L2T_LSTE_30922_007_16SBD_20231219T183726_0712_02,2023-12-19T18:37:26+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30922_007_15SYU_20231219T183726_0712_02,2023-12-19T18:37:26+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30948_006_16SBD_20231221T102718_0711_01,2023-12-21T10:27:18+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30948_006_15SYU_20231221T102718_0711_01,2023-12-21T10:27:18+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30948_006_16SBD_20231221T102718_0712_02,2023-12-21T10:27:18+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30948_006_15SYU_20231221T102718_0712_02,2023-12-21T10:27:18+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30963_005_15SYU_20231222T093819_0711_01,2023-12-22T09:38:19+00:00,all,no_valid_lst_in_window,,,,,
