plant,eis_facility_id,site_name,facility_type,naics_code,county,state,latitude,longitude,nox_short_tons,distance_km,role
midland_gas,11364411,DOW DIVISION,Airport,488119,Midland,MI,43.5922,-84.2244,0.01,0.68,neighbour
midland_gas,8159411,"The Dow Chemical Company U.S.A., Midland (A4033)",Pharmaceutical Manufacturing,325220,Midland,MI,43.6003,-84.2234,135.8,1.58,neighbour
midland_gas,8246211,Dow Silicones Corporation (A4043),Chemical Plant,325211,Midland,MI,43.5921,-84.205,22.7,1.68,neighbour
midland_gas,7779911,Cabot Corporation (N6251),,325180,Midland,MI,43.5956,-84.2042,0.01,1.93,neighbour
midland_gas,18982211,SK Saran Americas LLC,,325211,Midland,MI,43.6014,-84.211,0.29,2.01,neighbour
midland_gas,18982311,Corteva Agriscience LLC (P1028),,325320,Midland,MI,43.6069,-84.2174,0.41,2.38,neighbour
midland_gas,18989011,"DDP Specialty Electronic Materials US, LLC (P1027)",,325211,Midland,MI,43.6017,-84.2031,11.15,2.43,neighbour
midland_gas,18982111,Trinseo LLC (P1025),,325211,Midland,MI,43.6085,-84.2236,12.12,2.49,neighbour
midland_gas,18980811,Cintas Corporation (P0698),,812332,Midland,MI,43.6243,-84.2269,0.3,4.25,neighbour
midland_gas,6538411,City of Midland Utilities Division (N6004),Landfill,562212,Midland,MI,43.6332,-84.1745,14.53,6.59,neighbour
midland_gas,18979411,Dow Silicones Corporation (B4022),,325520,Bay,MI,43.5873,-84.1129,2.75,8.97,neighbour
midland_gas,9506711,Jack Barstow,Airport,488119,Midland,MI,43.66292,-84.26133,0.69,9.05,neighbour
midland_gas,9527811,Mbs Intl,Airport,488119,Saginaw,MI,43.532,-84.0908,5.46,12.32,neighbour
midland_gas,7238411,Hemlock Semiconductor Operations LLC (B2644),,327992,Saginaw,MI,43.4368,-84.1603,46.08,17.38,neighbour
midland_gas,4140211,Delta College (N5930),"Institutional (school, hospital, prison, etc.)",611310,Bay,MI,43.5607,-83.9859,2.88,19.4,neighbour
midland_gas,4140411,Riverside - Monitor 11 CPF (N6076),Oil or Gas Facility (On-shore),211130,Bay,MI,43.6263,-83.9537,3.05,22.23,neighbour
midland_gas,8145011,Michigan Sugar Company - Bay City (B1493),Sugar Mill,311313,Bay,MI,43.5753,-83.919,91.12,24.61,neighbour
midland_gas,4140111,Bay City Electric Light & Power (N3195),Electricity Generation via Combustion,221118,Bay,MI,43.595,-83.8999,11.44,26.14,neighbour
midland_gas,4171511,Bay City Electric Light & Power (B7529),Electricity Generation via Combustion,221118,Bay,MI,43.58087,-83.89737,5.3,26.33,neighbour
midland_gas,9557411,Michigan Agricultural Commodities - Ransom (B4986),,424510,Gratiot,MI,43.411,-84.4496,1.64,26.64,neighbour
midland_gas,9554611,James Clements Muni,Airport,488119,Bay,MI,43.54692,-83.8955,0.66,26.84,neighbour
midland_gas,6803811,Bunge (B7117),,493130,Saginaw,MI,43.459,-83.93,0.87,27.61,neighbour
midland_gas,15069611,COVENANT HEALTH CARE,,622110,Saginaw,MI,43.4306,-83.9535,8.75,27.85,neighbour
midland_gas,4773411,General Motors LLC - Bay City (B2460),Automobile/Truck or Parts Plant,336350,Bay,MI,43.6081,-83.8796,5.79,27.86,neighbour
midland_gas,17884111,"Yeager Paving Materials, LLC (P0443)",Hot Mix Asphalt Plant,324121,Saginaw,MI,43.4566,-83.9253,1.69,28.07,neighbour
midland_gas,6819411,Ace-Saginaw Paving Company - Plant 9 (N1580),Hot Mix Asphalt Plant,324121,Saginaw,MI,43.4616,-83.9172,19.72,28.36,neighbour
midland_gas,13681311,Michigan Agricultural Commodities (B1619),,424510,Gratiot,MI,43.4093,-84.4783,0.4,28.4,neighbour
midland_gas,4140611,RIVERSIDE - FRASER 8 CPF,Oil or Gas Facility (On-shore),211130,Bay,MI,43.7968,-84.0203,0.0,28.59,neighbour
midland_gas,4773311,Bay City Wastewater Treatment Plant (B1486),Wastewater Treatment Facility,221320,Bay,MI,43.6118,-83.8693,0.39,28.72,neighbour
midland_gas,7382911,GM LLC Saginaw Metal Casting Operations (B1991),"Foundries, non-ferrous",331524,Saginaw,MI,43.4503,-83.920477,27.17,28.77,neighbour
midland_gas,4171411,MPLX Terminals LLC - Bay City Marquette Terminal (B6037),Petroleum Storage Facility,424710,Bay,MI,43.6169,-83.8658,0.01,29.06,neighbour
midland_gas,13672011,MyMichigan Health - Saginaw (M1952),"Institutional (school, hospital, prison, etc.)",622110,Saginaw,MI,43.4239,-83.9384,4.45,29.27,neighbour
oak_grove,13385811,OAK GROVE STEAM ELECTRIC STATION,Electricity Generation via Combustion,221112,Robertson,TX,31.1818,-96.4874,4750.39,0.18,own
oak_grove,7552911,TWIN OAKS,Electricity Generation via Combustion,221112,Robertson,TX,31.092778,-96.695828,2109.55,22.16,neighbour
welsh,4164411,WELSH POWER PLANT,Electricity Generation via Combustion,221112,Titus,TX,33.055134,-94.83983,3671.71,0.02,own
welsh,6493811,PITTSBURG PLANT,Gas Plant,211130,Camp,TX,32.938847,-94.887667,24.43,13.68,neighbour
welsh,9072111,Mount Pleasant Municipa,Airport,488119,Titus,TX,33.12936,-94.97564,0.57,15.09,neighbour
welsh,11619611,GREATER MORRIS COUNTY,Airport,488119,Morris,TX,33.1268,-94.6988,0.0,15.37,neighbour
welsh,14467611,MOUNT PLEASANT,Rail Yard,488210,Titus,TX,33.159441,-94.966074,13.13,16.5,neighbour
welsh,14752511,PLEASANT OAKS LANDFILL,Landfill,562212,Titus,TX,33.116156,-95.01665,1.56,17.8,neighbour
welsh,16916111,Daingerfield,Rail Yard,488210,Morris,TX,32.995427,-94.659246,0.26,18.12,neighbour
welsh,16924111,Lake Monticello,Rail Yard,488210,Titus,TX,33.091947,-95.033686,0.26,18.5,neighbour
welsh,16926211,TN,Rail Yard,488210,Morris,TX,32.924907,-94.712187,1.45,18.76,neighbour
welsh,4205611,LONE STAR TUBULAR OPERATIONS,Steel Mill,331210,Morris,TX,32.9159,-94.7181,6.71,19.22,neighbour
welsh,15528811,HUGHES SPRINGS,Rail Yard,488210,Cass,TX,32.999436,-94.638894,14.78,19.75,neighbour
welsh,16923611,Lone Star,Rail Yard,488210,Morris,TX,32.95318,-94.663554,0.26,19.99,neighbour
welsh,9065811,COFFEEVILLE HEADER STATION,Compressor Station,486210,Upshur,TX,32.840522,-94.758142,0.45,25.07,neighbour
welsh,5746311,GILMER COMPRESSOR STATION,Compressor Station,486210,Upshur,TX,32.825369,-94.915308,18.27,26.51,neighbour
