site_id,ptype,polygon,product_id,sensor,datetime_utc,local_solar_hour,t_poly_k,t_bg_k,delta_t_k,t_poly_sd_k,t_bg_sd_k,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg,scene_cloud_cover,sun_elev_deg,qa_flags,t2m_k,d2m_k,u10,v10,ta_c,td_c,rh_pct,wind_ms,q_kgkg,tw_c,capacity_mw,capacity_basis,capacity_tier,capacity_source
lulea,hall,hall_north,LC08_L1TP_192014_20150926_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-09-26T09:52:47.575522+00:00,11.354,283.726,284.077,-0.35,0.141,0.543,61,61,8856,8861,15.34,23.06247163,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",285.494,279.486,4.157,1.907,12.344,6.336,66.75,4.573,0.005905,8.817,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_south,LC08_L1TP_192014_20150926_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-09-26T09:52:47.575522+00:00,11.354,285.87,284.077,1.793,0.846,0.543,85,87,8856,8861,15.34,23.06247163,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",285.494,279.486,4.157,1.907,12.344,6.336,66.75,4.573,0.005905,8.817,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_north,LC08_L1TP_193014_20151003_20180527_01_T1,L8_C1_L1TP_BT_B10,2015-10-03T09:58:59.498089+00:00,11.457,279.486,279.766,-0.28,0.107,0.501,61,61,8859,8861,21.38,20.3731157,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",281.522,272.417,4.826,-2.17,8.372,-0.733,52.72,5.291,0.003571,3.932,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_south,LC08_L1TP_193014_20151003_20180527_01_T1,L8_C1_L1TP_BT_B10,2015-10-03T09:58:59.498089+00:00,11.457,280.725,279.766,0.959,0.623,0.501,86,87,8859,8861,21.38,20.3731157,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",281.522,272.417,4.826,-2.17,8.372,-0.733,52.72,5.291,0.003571,3.932,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_north,LC08_L1TP_192014_20151012_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-10-12T09:52:48.190235+00:00,11.354,276.746,277.458,-0.712,0.314,1.105,61,61,3667,8861,30.37,16.96769174,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",281.344,278.304,3.593,0.85,8.194,5.154,81.16,3.692,0.005439,6.302,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_south,LC08_L1TP_192014_20151012_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-10-12T09:52:48.190235+00:00,11.354,278.766,277.458,1.307,0.839,1.105,65,87,3667,8861,30.37,16.96769174,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",281.344,278.304,3.593,0.85,8.194,5.154,81.16,3.692,0.005439,6.302,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_north,LC08_L1TP_193014_20151019_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-10-19T09:59:00.804506+00:00,11.458,275.79,276.074,-0.284,0.177,0.622,61,61,8481,8861,12.62,14.39873572,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",277.776,275.747,1.647,-1.213,4.626,2.597,86.69,2.045,0.004542,3.338,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_south,LC08_L1TP_193014_20151019_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-10-19T09:59:00.804506+00:00,11.458,277.0,276.074,0.926,0.437,0.622,66,87,8481,8861,12.62,14.39873572,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",277.776,275.747,1.647,-1.213,4.626,2.597,86.69,2.045,0.004542,3.338,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_north,LC08_L1TP_194014_20151026_20170402_01_T1,L8_C1_L1TP_BT_B10,2015-10-26T10:05:14.702373+00:00,11.561,274.902,274.195,0.707,0.229,0.623,61,61,8843,8861,49.87,11.94359156,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",278.203,272.989,3.601,-2.536,5.053,-0.161,69.03,4.404,0.003723,2.278,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
lulea,hall,hall_south,LC08_L1TP_194014_20151026_20170402_01_T1,L8_C1_L1TP_BT_B10,2015-10-26T10:05:14.702373+00:00,11.561,274.705,274.195,0.51,0.259,0.623,81,87,8843,8861,49.87,11.94359156,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",278.203,272.989,3.601,-2.536,5.053,-0.161,69.03,4.404,0.003723,2.278,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013)
