site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
lulea,LC08_L1TP_193014_20180909_20180912_01_T1,2018-09-09T09:58:34.257447+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_194014_20180916_20180928_01_T1,2018-09-16T10:04:46.806446+00:00,all,background_too_cloudy,,,,1269.0,8861.0
lulea,LC08_L1TP_193014_20180925_20180929_01_T1,2018-09-25T09:58:39.584663+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20181114_20181128_01_T1,2018-11-14T09:46:32.968241+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20190131_20190206_01_T1,2019-01-31T09:58:44.582994+00:00,hall,polygon_too_cloudy,hall_north,23.0,61.0,7493.0,8861.0
lulea,LC08_L1TP_192014_20190209_20190222_01_T1,2019-02-09T09:52:33.040127+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_192014_20190313_20190325_01_T1,2019-03-13T09:52:23.971819+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20190322_20190403_01_T1,2019-03-22T09:46:11.575429+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20190407_20190422_01_T1,2019-04-07T09:46:07.624678+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20190423_20190507_01_T1,2019-04-23T09:46:01.000604+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20190430_20190508_01_T1,2019-04-30T09:52:12.580031+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20190509_20190521_01_T1,2019-05-09T09:46:07.164749+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_194014_20190530_20190605_01_T1,2019-05-30T10:04:51.962775900+00:00,all,background_too_cloudy,,,,1817.0,8861.0
lulea,LC08_L1TP_191014_20190610_20190619_01_T1,2019-06-10T09:46:24.416291+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20190624_20190704_01_T1,2019-06-24T09:58:50.828212+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20190626_20190705_01_T1,2019-06-26T09:46:29.741654+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20190710_20190719_01_T1,2019-07-10T09:58:54.417130+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20190712_20190719_01_T1,2019-07-12T09:46:33.076539+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20190728_20190801_01_T1,2019-07-28T09:46:38.351194+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20190827_20190903_01_T1,2019-08-27T09:59:09.469808900+00:00,hall,polygon_too_cloudy,hall_north,11.0,61.0,8547.0,8861.0
lulea,LC08_L1TP_191014_20190829_20190903_01_T1,2019-08-29T09:46:48.230850+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20190912_20190917_01_T1,2019-09-12T09:59:13.804458+00:00,all,background_too_cloudy,,,,1.0,8861.0
lulea,LC08_L1TP_191014_20190914_20190917_01_T1,2019-09-14T09:46:52.942618+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_194014_20190919_20190926_01_T1,2019-09-19T10:05:27.161249+00:00,hall,polygon_too_cloudy,hall_north,12.0,61.0,8012.0,8861.0
lulea,LC08_L1TP_192014_20190921_20190926_01_T1,2019-09-21T09:53:06.163968+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20190928_20191017_01_T1,2019-09-28T09:59:18.991576+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_192014_20191023_20191030_01_T1,2019-10-23T09:53:11.432053+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_192014_20191108_20191115_01_T1,2019-11-08T09:53:10.005258+00:00,all,background_too_cloudy,,,,1282.0,8861.0
lulea,LC08_L1TP_192014_20200315_20200325_01_T1,2020-03-15T09:52:39.194962+00:00,hall,polygon_too_cloudy,hall_north,32.0,61.0,4740.0,8861.0
lulea,LC08_L1TP_192014_20200416_20200423_01_T1,2020-04-16T09:52:23.212754+00:00,all,background_too_cloudy,,,,1625.0,8861.0
lulea,LC08_L1TP_193014_20200509_20200526_01_T1,2020-05-09T09:58:21.811535+00:00,all,background_too_cloudy,,,,1695.0,8861.0
lulea,LC08_L1TP_194014_20200516_20200527_01_T1,2020-05-16T10:04:34.456499+00:00,all,background_too_cloudy,,,,1715.0,8861.0
lulea,LC08_L1TP_193014_20200610_20200626_01_T1,2020-06-10T09:58:34.310511900+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20200612_20200626_01_T1,2020-06-12T09:46:13.861086+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20200628_20200708_01_T1,2020-06-28T09:46:22.323056+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20200712_20200722_01_T1,2020-07-12T09:58:49.730863900+00:00,all,background_too_cloudy,,,,2182.0,8861.0
lulea,LC08_L1TP_192014_20200806_20200821_01_T1,2020-08-06T09:52:45.425298+00:00,hall,polygon_too_cloudy,hall_north,0.0,61.0,8831.0,8861.0
lulea,LC08_L1TP_193014_20200813_20200822_01_T1,2020-08-13T09:58:57.940039+00:00,hall,polygon_too_cloudy,hall_north,0.0,61.0,4567.0,8861.0
lulea,LC08_L1TP_193014_20200813_20200822_01_T1,2020-08-13T09:58:57.940039+00:00,hall,polygon_too_cloudy,hall_south,0.0,87.0,4567.0,8861.0
lulea,LC08_L1TP_194014_20200820_20200905_01_T1,2020-08-20T10:05:12.738274900+00:00,all,background_too_cloudy,,,,76.0,8861.0
lulea,LC08_L1TP_193014_20200829_20200905_01_T1,2020-08-29T09:59:06.429848+00:00,hall,polygon_too_cloudy,hall_north,29.0,61.0,6959.0,8861.0
lulea,LC08_L1TP_191014_20200831_20200906_01_T1,2020-08-31T09:46:45.721848+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20200907_20200918_01_T1,2020-09-07T09:52:59.477739900+00:00,hall,polygon_too_cloudy,hall_north,1.0,61.0,4976.0,8861.0
lulea,LC08_L1TP_193014_20200914_20200920_01_T1,2020-09-14T09:59:12.814222900+00:00,hall,polygon_too_cloudy,hall_north,20.0,61.0,8777.0,8861.0
lulea,LC08_L1TP_191014_20201002_20201015_01_T1,2020-10-02T09:46:55.749828900+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20201110_20210316_01_T1,2020-11-10T09:53:04.469228+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20210207_20210305_01_T1,2021-02-07T09:46:43.511826+00:00,all,outside_footprint,,,,,
