name,d,snow,n
hall:block_c,2020-12-19,0.0,1581
hall:block_d,2020-12-19,0.0033333420479530564,1581
hall:block_a,2020-12-19,,0
hall:block_b,2020-12-19,,0
hall:block_c,2020-12-19,,0
hall:block_d,2020-12-19,,0
hall:block_a,2020-12-21,0.0,1271
hall:block_b,2020-12-21,0.0,1581
hall:block_c,2020-12-21,0.0,1581
hall:block_d,2020-12-21,0.010737282973288785,1581
hall:block_a,2020-12-21,,0
hall:block_b,2020-12-21,,0
hall:block_c,2020-12-21,,0
hall:block_d,2020-12-21,,0
hall:block_a,2020-12-24,0.0,1267
hall:block_b,2020-12-24,0.0,1023
hall:block_c,2020-12-24,0.0,785
hall:block_d,2020-12-24,0.001068868675860336,992
hall:block_a,2020-12-24,,0
hall:block_b,2020-12-24,,0
hall:block_c,2020-12-24,,0
hall:block_d,2020-12-24,,0
hall:block_a,2020-12-26,0.0,1271
hall:block_b,2020-12-26,0.0,1581
hall:block_c,2020-12-26,0.0,1581
hall:block_d,2020-12-26,0.002000005228771834,1581
hall:block_a,2020-12-26,,0
hall:block_b,2020-12-26,,0
hall:block_c,2020-12-26,,0
hall:block_d,2020-12-26,,0
ring:builtup,2020-01-01,1.0,34189
ring:builtup,2020-01-01,0.9991781082415331,7307
ring:builtup,2020-01-04,1.0,34189
ring:builtup,2020-01-04,1.0,7307
ring:builtup,2020-01-06,1.0,5931
ring:builtup,2020-01-09,,0
ring:builtup,2020-01-11,0.9998447548839429,25859
ring:builtup,2020-01-14,1.0,34140
ring:builtup,2020-01-14,1.0,7284
ring:builtup,2020-01-19,1.0,34179
ring:builtup,2020-01-19,0.999452072161022,7307
ring:builtup,2020-01-21,1.0,34189
ring:builtup,2020-01-21,0.9998630180402555,7307
ring:builtup,2020-01-24,1.0,34189
ring:builtup,2020-01-24,1.0,7307
ring:builtup,2020-01-26,0.9866045467072123,34107
ring:builtup,2020-01-26,0.9960133244992126,7281
ring:builtup,2020-01-29,1.0,118
ring:builtup,2020-01-29,,0
ring:builtup,2020-01-31,1.0,24281
ring:builtup,2020-01-31,1.0,512
ring:builtup,2020-02-03,0.9825860921490158,31999
ring:builtup,2020-02-03,0.9925187032418953,6821
ring:builtup,2020-02-05,1.0,34175
ring:builtup,2020-02-05,1.0,7294
ring:builtup,2020-02-08,0.9998226134053948,33963
ring:builtup,2020-02-08,1.0,7307
ring:builtup,2020-02-10,0.9408965069805911,34189
ring:builtup,2020-02-10,0.9967088263147621,7299
ring:builtup,2020-02-15,0.5692307692307692,65
ring:builtup,2020-02-18,,0
ring:builtup,2020-02-23,0.028508086770720288,31310
ring:builtup,2020-02-23,0.06430620064588494,7300
ring:builtup,2020-02-25,0.007450515880882728,34105
ring:builtup,2020-02-25,0.009870813842149773,7301
ring:builtup,2020-02-28,,0
ring:builtup,2020-02-28,0.0,133
ring:builtup,2020-03-01,0.0,10110
ring:builtup,2020-03-01,0.0,5022
ring:builtup,2020-03-06,,0
ring:builtup,2020-03-09,0.0,31006
ring:builtup,2020-03-09,0.0,6836
ring:builtup,2020-03-11,5.877383264508407e-05,34169
ring:builtup,2020-03-11,0.0,7307
ring:builtup,2020-03-14,2.938000921956211e-05,34177
ring:builtup,2020-03-14,0.0,7307
ring:builtup,2020-03-16,6.282685362624281e-05,31965
ring:builtup,2020-03-16,0.0,6741
ring:builtup,2020-03-19,0.0,34186
ring:builtup,2020-03-19,0.0,7307
ring:builtup,2020-03-21,8.824632745316716e-05,34136
ring:builtup,2020-03-21,0.0,6857
ring:builtup,2020-03-29,0.0,2749
ring:builtup,2020-03-29,0.0,1302
ring:builtup,2020-03-31,0.0,129
ring:builtup,2020-03-31,0.0,332
ring:builtup,2020-11-01,0.0,34061
ring:builtup,2020-11-01,0.0,6665
ring:builtup,2020-11-04,0.0,34182
ring:builtup,2020-11-04,0.0,7307
ring:builtup,2020-11-06,0.0,34185
ring:builtup,2020-11-06,0.0,7307
ring:builtup,2020-11-09,0.0,34178
ring:builtup,2020-11-09,0.0,7307
ring:builtup,2020-11-11,0.0,33912
ring:builtup,2020-11-11,0.0,7307
ring:builtup,2020-11-14,0.0,580
ring:builtup,2020-11-16,0.0,34157
ring:builtup,2020-11-16,0.0,7307
ring:builtup,2020-11-19,0.004136402288700146,20214
ring:builtup,2020-11-19,0.00013715104471446766,7298
ring:builtup,2020-11-21,1.0,21207
ring:builtup,2020-11-24,0.9097171724375909,22882
ring:builtup,2020-11-24,0.915030523016004,2426
ring:builtup,2020-11-26,0.5931058829032656,34177
ring:builtup,2020-11-26,0.19393690986963077,7307
ring:builtup,2020-11-29,0.530495040339322,11247
ring:builtup,2020-11-29,0.06598447860100055,7307
ring:builtup,2020-12-01,0.059567873363113664,7259
ring:builtup,2020-12-04,0.12412879692554886,34096
ring:builtup,2020-12-04,0.016300853209594755,7307
ring:builtup,2020-12-06,0.991589214854706,21001
ring:builtup,2020-12-06,0.984597500726533,3441
ring:builtup,2020-12-09,0.2609246450489452,6225
ring:builtup,2020-12-09,0.09423547972918551,830
ring:builtup,2020-12-11,0.0758135004992648,33613
ring:builtup,2020-12-11,0.02584218087738228,7243
ring:builtup,2020-12-14,0.0,1481
ring:builtup,2020-12-16,0.0,5069
ring:builtup,2020-12-19,0.00996495106036547,34189
ring:builtup,2020-12-19,0.00013698195974449373,7307
ring:builtup,2020-12-21,0.005751730131802947,34189
ring:builtup,2020-12-21,0.00027396391948898745,7307
ring:builtup,2020-12-24,0.0003722771756863587,26967
ring:builtup,2020-12-24,0.00027396391948898745,7307
ring:builtup,2020-12-26,0.0027883431483765432,34153
ring:builtup,2020-12-26,0.0,6253
hall:block_a,2021-01-03,,0
hall:block_b,2021-01-03,,0
hall:block_c,2021-01-03,0.0,100
hall:block_d,2021-01-03,,0
hall:block_a,2021-01-03,,0
hall:block_b,2021-01-03,,0
hall:block_c,2021-01-03,,0
hall:block_d,2021-01-03,,0
hall:block_a,2021-01-08,0.0,1271
hall:block_b,2021-01-08,0.0,1155
hall:block_c,2021-01-08,0.0,1149
hall:block_d,2021-01-08,0.0006888577927375456,1530
hall:block_a,2021-01-08,,0
hall:block_b,2021-01-08,,0
hall:block_c,2021-01-08,,0
hall:block_d,2021-01-08,,0
hall:block_a,2021-01-15,0.0,931
hall:block_b,2021-01-15,0.0,649
hall:block_c,2021-01-15,0.0,575
hall:block_d,2021-01-15,0.0,410
hall:block_a,2021-01-15,,0
hall:block_b,2021-01-15,,0
hall:block_c,2021-01-15,,0
hall:block_d,2021-01-15,,0
hall:block_a,2021-01-18,0.0,1271
