PSTATABB,PNAME,ORISPL,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,PLNGENAN,PLNOXAN,PLNOXRTA,nox_tpy,gen_gwh
AL,Morgan Energy Center,55293,34.6397,-87.0639,NG,GAS,0.68778,900.0,5422456.0,129.263,0.048,129.263,5422.456
AL,Packaging Corp. of America Jackson Mill,55044,31.4894,-87.8989,BLQ,BIOMASS,0.40731,44.4,158420.692,39.198,0.495,39.198,158.420692
AL,Plant H. Allen Franklin,7710,32.6078,-85.0975,NG,GAS,0.78263,1995.7,13682165.0,394.978,0.058,394.978,13682.165
AL,SABIC Innovative Plastics - Burkville,7698,32.310226,-86.52542,NG,GAS,0.60502,97.0,514101.0,40.015,0.156,40.015,514.101
AL,Sand Valley Power Station,59710,34.343875,-85.866103,LFG,BIOMASS,0.72836,4.8,30626.001,0.0,0.0,0.0,30.626001
AL,Sloss Industries Corp,50359,33.568164,-86.79873,NG,GAS,0.0,25.0,0.0,0.0,,0.0,0.0
AL,Tenaska Lindsay Hill Generating Station,55271,32.6514,-86.7386,NG,GAS,0.32958,939.4,2712170.0,78.988,0.058,78.988,2712.17
AL,Theodore Cogeneration,7721,30.525445,-88.128477,NG,GAS,0.56999,317.4,1584807.0,30.935,0.039,30.935,1584.807
AL,U S Alliance Coosa Pines,54216,33.328107,-86.356825,BLQ,BIOMASS,0.6139,25.9,139284.0,46.793,0.672,46.793,139.284
AL,W&T Onshore Treating Facility (OTF),54550,30.43203,-88.18241,NG,GAS,0.45317,12.0,47637.0,37.613,1.579,37.613,47.637
AL,Walton Discover Power Facility,55138,32.54098,-85.038879,NG,GAS,0.00022,103.0,195.0,0.878,9.005,0.878,0.195
AL,Washington County Cogen (Olin),7697,31.26423,-88.00267,NG,GAS,0.80343,122.5,862164.0,57.367,0.133,57.367,862.164
AL,WestRock Demopolis Mill,54763,32.4541,-87.9759,BLQ,BIOMASS,0.70018,47.4,290729.526,131.499,0.905,131.499,290.729526
AL,Westervelt Moundville Cogen,57467,32.960714,-87.655419,WDS,BIOMASS,0.25913,13.0,29510.019,11.792,0.799,11.792,29.510019
AR,Ashdown,54104,33.6417,-94.1083,BLQ,BIOMASS,0.36195,156.5,496211.939,292.918,1.181,292.918,496.21193900000003
AR,Carl Bailey,202,35.260102,-91.363426,NG,GAS,,120.0,,0.0,,0.0,
AR,City Water & Light - City of Jonesboro,56505,35.848561,-90.725377,NG,GAS,0.04312,224.3,84732.999,45.849,1.082,45.849,84.73299899999999
AR,Clearwater Paper APP CB,50638,33.7061,-91.2371,BLQ,BIOMASS,0.45138,28.0,110715.0,45.156,0.816,45.156,110.715
AR,Dell Power Plant,55340,35.8619,-90.0253,NG,GAS,0.68707,679.1,4087322.0,158.805,0.078,158.805,4087.322
AR,Elkins Generating Center,56489,35.9714,-94.0014,NG,GAS,0.04359,66.0,25202.001,48.036,3.812,48.036,25.202001
AR,Flint Creek Power Plant,6138,36.2561,-94.5241,SUB,COAL,0.42247,558.0,2065083.0,2574.744,2.494,2574.744,2065.083
AR,Fulton,7825,33.6094,-93.7924,NG,GAS,0.10973,154.8,148802.0,39.345,0.529,39.345,148.802
AR,Georgia-Pacific Crossett LLC,10606,33.1421,-91.975,NG,GAS,0.02926,25.0,6407.122,3.019,0.942,3.019,6.407122
AR,Harry D. Mattison Power Plant,56328,36.1855,-94.2841,NG,GAS,0.05796,349.0,177190.0,69.734,0.787,69.734,177.19
AR,Hot Spring Energy Facility,55418,34.29759,-92.868344,NG,GAS,0.347,714.8,2172773.0,87.892,0.081,87.892,2172.773
AR,Independence,6641,35.678442,-91.408761,SUB,COAL,0.30081,1800.0,4743250.0,4752.834,2.004,4752.834,4743.25
AR,John W. Turk Jr. Power Plant,56564,33.649722,-93.811944,SUB,COAL,0.58341,609.0,3112401.0,612.338,0.393,612.338,3112.401
AR,Lake Catherine,170,34.4341,-92.9049,NG,GAS,0.03494,552.5,169122.0,234.079,2.768,234.079,169.122
AR,Magnet Cove Generating Station,55714,34.4297,-92.8317,NG,GAS,0.51688,746.0,3377782.0,150.292,0.089,150.292,3377.782
AR,McClellan,203,33.5648,-92.7917,NG,GAS,0.03451,136.0,41108.0,80.594,3.921,80.594,41.108
AR,Oswald Generating Station,55221,34.5923,-92.2166,NG,GAS,0.17919,599.5,941018.0,333.419,0.709,333.419,941.018
AR,Paragould Reciprocating,8015,36.0242,-90.5094,NG,GAS,0.00386,19.2,648.999,8.985,27.689,8.985,0.648999
AR,Paragould Turbine,7283,36.024272,-90.509229,NG,GAS,0.00132,13.9,161.0,0.36,4.472,0.36,0.161
AR,Pine Bluff Energy Center,55075,34.2181,-91.9025,NG,GAS,0.60117,230.4,1213353.0,158.434,0.261,158.434,1213.353
AR,Pine Bluff Mill,10627,34.221213,-91.907365,BLQ,BIOMASS,0.38818,85.0,289037.0,111.094,0.769,111.094,289.037
AR,Plum Point Energy Station,56456,35.6644,-89.9489,SUB,COAL,0.53617,720.0,3381761.0,1313.685,0.777,1313.685,3381.761
AR,Thomas Fitzhugh,201,35.462382,-93.804926,NG,GAS,0.24962,185.0,404531.0,143.361,0.709,143.361,404.531
AR,Two Pine Landfill Gas Recovery,56523,34.8332,-92.157103,LFG,BIOMASS,0.63057,4.8,26514.0,0.0,0.0,0.0,26.514
AR,UA Central Utility Plant,60536,36.066336,-94.172254,NG,GAS,0.76364,5.6,37461.0,65.676,3.506,65.676,37.461
AR,Union Power Station,55380,33.296146,-92.589364,NG,GAS,0.63079,2428.0,13416477.0,601.787,0.09,601.787,13416.477
AR,Waste Management Eco Vista LFGTE,57025,36.140849,-94.259713,NG,GAS,0.98602,0.8,6910.0,112.795,32.647,112.795,6.91
AR,White Bluff,6009,34.4228,-92.1406,SUB,COAL,0.22583,1800.0,3560853.0,3186.001,1.789,3186.001,3560.853
AZ,APS Saguaro Power Plant,118,32.5517,-111.3,NG,GAS,0.10866,184.5,175612.0,24.421,0.278,24.421,175.612
AZ,APS West Phoenix Power Plant,117,33.4417,-112.1583,NG,GAS,0.28883,1206.8,3053387.0,133.491,0.087,133.491,3053.387
AZ,Agua Fria Generating Station,141,33.5561,-112.2153,NG,GAS,0.02354,737.5,152079.999,213.273,2.805,213.273,152.07999900000002
AZ,Apache Station,160,32.0603,-109.8931,SUB,COAL,0.34251,660.7,1982376.999,1183.104,1.194,1183.104,1982.376999
AZ,Arizona State University CHP,58199,33.417222,-111.928333,NG,GAS,0.27567,17.1,41294.0,35.141,1.702,35.141,41.294
AZ,Arlington Valley Energy Facility,55282,33.3417,-112.8897,NG,GAS,0.55986,713.0,3496839.0,104.335,0.06,104.335,3496.839
AZ,Black Mountain Generating Station,56482,35.0361,-114.1594,NG,GAS,0.08953,121.0,94899.0,52.02,1.096,52.02,94.899
AZ,Cholla,113,34.9394,-110.3033,SUB,COAL,0.47916,425.9,1787705.0,1982.25,2.218,1982.25,1787.705
AZ,Cogeneration 1,56229,32.229922,-110.952797,NG,GAS,0.68681,9.0,54148.31,44.939,1.66,44.939,54.148309999999995
AZ,Cogeneration 2,59233,32.240833,-110.948333,NG,GAS,0.74137,5.5,35719.28,29.384,1.645,29.384,35.71928
AZ,Coolidge Generating Station,56948,32.917399,-111.503327,NG,GAS,0.06637,726.0,422112.996,44.907,0.213,44.907,422.112996
AZ,Coronado Generating Station,6177,34.5789,-109.2708,SUB,COAL,0.42813,821.8,3082129.0,2821.438,1.831,2821.438,3082.129
AZ,De Moss Petrie Generating Station,124,32.252273,-110.992148,NG,GAS,0.00176,85.0,1310.0,0.482,0.736,0.482,1.31
AZ,Desert Basin Generating Station,55129,32.9042,-111.7889,NG,GAS,0.45881,745.1,2994698.0,122.563,0.082,122.563,2994.698
AZ,Douglas,114,31.364122,-109.5538,DFO,OIL,0.00039,26.1,90.0,0.715,15.889,0.715,0.09
AZ,Gila River Power Block 2,60768,32.975,-112.694444,NG,GAS,0.51892,619.0,2813817.0,3246.803,2.308,3246.803,2813.817
AZ,Gila River Power Station,55306,32.975,-112.6944,NG,GAS,0.45433,1857.0,7390743.0,304.893,0.083,304.893,7390.743
AZ,Griffith Energy Project,55124,35.054029,-114.133272,NG,GAS,0.63973,655.0,3670670.0,118.529,0.065,118.529,3670.67
AZ,Irvington Generating Station,126,32.16,-110.9047,NG,GAS,0.30021,528.9,1390938.0,806.291,1.159,806.291,1390.938
AZ,Kyrene Generating Station,147,33.3556,-111.9353,NG,GAS,0.25042,573.7,1258511.0,42.569,0.068,42.569,1258.511
AZ,Mesquite Generating Station,55481,33.345047,-112.864227,NG,GAS,0.6283,1383.2,7613036.0,239.924,0.063,239.924,7613.036
AZ,New Harquahala Generating Company,55372,33.47596,-113.113434,NG,GAS,0.20795,1277.1,2326465.0,78.84,0.068,78.84,2326.465
AZ,North Loop,6088,32.401,-111.1262,NG,GAS,0.00386,107.8,3648.0,12.705,6.965,12.705,3.648
AZ,Northwest Regional,57403,33.681944,-112.476666,LFG,BIOMASS,0.62678,3.2,17570.0,0.0,0.0,0.0,17.57
AZ,Novo BioPower Plant,56616,34.503158,-110.334953,WDS,BIOMASS,0.73689,27.2,175580.0,223.176,2.542,223.176,175.58
AZ,Ocotillo Power Plant,116,33.4225,-111.9122,NG,GAS,0.11683,626.2,640869.0,23.688,0.074,23.688,640.869
AZ,Redhawk Generating Facility,55455,33.334562,-112.840641,NG,GAS,0.44354,1140.3,4430509.0,141.92,0.064,141.92,4430.509
AZ,Santan,8068,33.3325,-111.7503,NG,GAS,0.49048,1326.0,5697255.0,104.81,0.037,104.81,5697.255
AZ,"South Point Energy Center, LLC",55177,34.8678,-114.5317,NG,GAS,0.43079,708.0,2671767.0,95.249,0.071,95.249,2671.767
AZ,Springerville Generating Station,8223,34.3186,-109.1639,SUB,COAL,0.43204,1779.2,6733669.94,4225.54,1.255,4225.54,6733.669940000001
AZ,Sundance Power Plant,55522,32.9285,-111.5899,NG,GAS,0.09862,605.0,522679.0,34.706,0.133,34.706,522.679
AZ,University of Arizona - Biosphere 2,54594,32.578011,-110.852608,NG,GAS,0.00435,3.1,118.0,4.916,83.322,4.916,0.118
AZ,Valencia,6515,31.363472,-110.931343,NG,GAS,0.00597,108.0,5650.001,13.235,4.685,13.235,5.6500010000000005
AZ,Yucca Power Plant,120,32.7214,-114.7106,NG,GAS,0.06475,417.0,236544.0,9.43,0.08,9.43,236.544
AZ,Yuma Cogeneration Associates,54694,32.728822,-114.654053,NG,GAS,0.27221,62.6,149275.0,41.9,0.561,41.9,149.275
CA,ABEC #2 dba West-Star Dairy,61501,35.472113,-119.432866,OBG,BIOMASS,0.96724,1.0,8473.0,188.411,44.473,188.411,8.473
